Location,ent_type,context,p_no
Paris,GPE,bright day in the early spring of 1869. All Paris seemed to have turned out to enjoy itself. The,0
Lavater,GPE,"character of their formation, which was that assigned by Lavater to temperaments easily moved to gayety and pleasure.",3
Paris,GPE,altered: of course I AM; ten years of Paris would improve an orang-outang.” Quickening his,4
Paris,GPE,"good fortune! So you, too, are at Paris?”",8
Paris,GPE,". I have a list of all the heiresses at Paris, bound in russia leather. You may take your",20
russia,GPE,"list of all the heiresses at Paris, bound in russia leather. You may take your choice out of twenty",20
Paris,GPE,day for a month. A Rochebriant just new to Paris must be ‘fete’ by all the Faubourg.,20
Faubourg,GPE,"own set, though it is not that of the Faubourg. Where shall we dine?—at the Trois Freres?”",22
Paris,GPE,"“Wherever you please. I know no restaurant at Paris, except a very ignoble one, close by my",23
London,GPE,’ll find them for you. I will write to London to-morrow: Reese [Rice] is your,26
Bretagne,GPE,"heard that the Rochebriants were among the greatest proprietors in Bretagne. Most likely, with all his innocence of the",28
Paris,GPE,that I have reasons you will approve for leading at Paris a life which you certainly will not envy;”,29
Paris,GPE,"livelier tone, “But what a marvellous city this Paris of ours is! Remember I had never seen it",29
Paris,GPE,"and a pang of conscience—is certainly not the Paris of former times, but that Paris which M. Buonaparte",29
Paris,GPE,"certainly not the Paris of former times, but that Paris which M. Buonaparte—I beg pardon, which the",29
Paris,GPE,with his reign. It is what is new in Paris that strikes and enthrals me. Here I see the,29
France,GPE,"and enthrals me. Here I see the life of France, and I belong to her tombs!”",29
Empire,GPE,"fair field of living ambition open to you under the Empire, you never were more mistaken. ‘Moyen age",30
Paris,GPE,"he replied curtly, “The clothes I wear at Paris were made in Bretagne; and if the name of",31
Bretagne,GPE,“The clothes I wear at Paris were made in Bretagne; and if the name of Rochebriant be of any,31
Paris,GPE,"name of Rochebriant be of any value at all in Paris, which I doubt, let me trust that it",31
Europe,LOC,"Alain, there is some of the best blood of Europe in the Jockey Club; they would exclude a plain",32
London,GPE,eccentric. Alas! I am obliged to send to London for my pantaloons: that comes of being a Lemercier,32
Paris,GPE,",” returned Rochebriant. “He had not visited Paris for many years before he died.”",46
London,GPE,"“It was in London I met him, at the house of the Russian",47
Richelieus,LOC,"his name shows, from the same stem as the Richelieus. His father was a great scholar, and I",55
au quatrieme,GPE,"years ago he lived in a single chamber, ‘au quatrieme,’ near the Luxembourg. He has now a",55
Luxembourg,GPE,"single chamber, ‘au quatrieme,’ near the Luxembourg. He has now a hotel, not large but",55
Paris,GPE,"here. Such cigars are not to be had at Paris for money, nor even for love; seeing that",57
