Location,ent_type,context,p_no
the Mary River,LOC,"He was a young squatter, well known west of the Mary River, in Queensland. Harry Heathcote of Gangoil, who",4
Queensland,GPE,", well known west of the Mary River, in Queensland. Harry Heathcote of Gangoil, who owned 30,000 sheep",4
Queensland,GPE,"wool. He was a breeder of sheep on a Queensland sheep-run, and his flocks ran far afield",6
Brisbane,GPE,"as possible. He sent his wool annually down to Brisbane, and received his stores, tea and sugar,",6
England,GPE,or the last novel that had come to them from England.,6
Sydney,GPE,"daughter of a bankrupt squatter whom he had met in Sydney, and had brought her and her sister into the",7
Queensland,GPE,", and had brought her and her sister into the Queensland bush with him. His wife idolized him. His",7
Providence,GPE,"“That comes from heaven or Providence, or from something that one knows to be unassailable",14
Medlicot,GPE,"a great and peculiar grievance from the hands of one Medlicot, a stranger who had lately settled near him,",30
England,GPE,"have got rich, and we shall all be in England, sha’n’t we?”",37
the Mary River,LOC,"at Gangoil. It stood about half a mile from the Mary River, on the edge of a creek which ran into",41
England,GPE,and was sometimes heard to say that few men in England had a lot of thirty at hand as he had,42
Medlicot,GPE,the man on the fence. “My name is Medlicot.”,67
Medlicot,GPE,"after all;” meaning that he almost suspected that Medlicot himself would be an incendiary. To him, in",88
Medlicot,GPE,sister-in-law—to tell him that Medlicot had the manners of a gentleman and had come of,88
Medlicot,GPE,"-looking face, and a decent coat. This Medlicot went about dressed like a man in the towns,",88
Medlicot,GPE,. Of what use was it to tell him that Medlicot was a gentleman? What Harry knew was that since,88
Medlicot,GPE,"was a gentleman? What Harry knew was that since Medlicot had come he had lost his sheep, that the",88
Medlicot,GPE,"heads of three or four had been found buried on Medlicot’s side of his run, and that if he",88
Medlicot,GPE,"and that if he dismissed “a hand,” Medlicot employed him—a proceeding which, in Harry Heathcote",88
Heathcote,GPE,own hut in his anxiety to boil the water for Heathcote’s tea.,92
Medlicot,GPE,the German express absolute suspicion of any man. That Medlicot’s “hands” at the sugar-mill were,95
Heathcote,GPE,"had now got upon a track very well known to Heathcote, which led up from the river to the wool",101
Jimini,GPE,“By Jimini! what’s that?” said Jacko.,110
Medlicot,GPE,"her husband that she and Kate should ride over to Medlicot’s Mill, as the place was already named,",127
Quarreling,GPE,"“Quarreling is so uncomfortable,” said his wife.",131
Medlicot,GPE,"shed was about two miles from the station, and Medlicot’s Mill was seven miles farther, on the bank",135
England,GPE,"to the colony. He had come out direct from England with the intention of growing sugar, and, whether",136
Medlicot,GPE,can achieve ultimate success in such an enterprise; and Medlicot was certainly not a man likely to talk much to,136
Paradise,LOC,"difficulties. He had not, perhaps, found the Paradise which he had expected in Queensland, but he had",136
Queensland,GPE,"perhaps, found the Paradise which he had expected in Queensland, but he had found that he could grow sugar",136
Medlicot,GPE,no good. He had now brought his mother to Medlicot’s Mill. She and the Gangoil ladies had met,137
Medlicot,GPE,Medlicot’s cottage was about a hundred and fifty yards from,139
Cumberland,GPE,". “I’m auld, and just out of Cumberland, and I find it’s hot enough—and",142
bouggey,GPE,"telling me that I’m to gang aboot in a bouggey, but I dinna feel sure of thae bouggeys.",144
Heathcote,GPE,all the morning. There had been a tone in Heathcote’s voice when he gave his parting warning as to,147
Medlicot,GPE,he gave his parting warning as to the fire in Medlicot’s pipe which the sugar grower had felt to be,147
Medlicot,GPE,"Medlicot, of course, shook hands with them, and",149
Medlicot,GPE,who did not relish the idea of going back to Medlicot’s Mill as guide to another man. There was,164
Medlicot,GPE,"the building. He came up and shook hands with Medlicot, with sufficient courtesy, but hardly with cordiality,",165
Providence,GPE,". “I’m not much given to talk about Providence, but this looks like it, does it not",175
Heathcote,GPE,first mile between the wool-shed and the house Heathcote and the two ladies rode without saying a word.,187
Medlicot,GPE,felt inclined to discuss it. Harry’s dislike to Medlicot was quite a thing apart. That some one had,187
Brisbane,GPE,seemed to him to be misery. The merchants at Brisbane who took his wool and supplied him with stores had,190
Medlicot,GPE,"displaced during the night, but went on straight to Medlicot’s Mill. He rode the nine miles in an",196
the South Sea Islands,LOC,"Polynesian laborers under him—sleek, swarthy fellows from the South Sea Islands, with linen trowsers on and nothing else—who",196
Heathcote,GPE,"the face. He had been a boundary rider for Heathcote, and on an occasion had been impertinent, refusing",198
Medlicot,GPE,"sent about his business. He had been employed at Medlicot’s Mill, but from the day of his dismissal",198
Medlicot,GPE,"in spite of all that had passed between him and Medlicot, he still thought it possible that he might induce",210
Medlicot,GPE,Harry had never before set his foot upon Medlicot’s land since it had been bought away from his,212
Medlicot,GPE,"Harry said that the office would do, and followed Medlicot into a little box-like inclosure which contained a",216
Medlicot,GPE,"“You admit it was quite dark,” continued Medlicot.",227
Medlicot,GPE,"attached to his position, and had frankly appealed to Medlicot as a neighbor. And then this new-fangled",242
England,GPE,being wrong because it was un-English! In England there were police to guard men’s property. Here,242
Medlicot,GPE,"Medlicot, when he was left alone, took two or",244
Medlicot,GPE,"what might be done to him by an enemy? Medlicot also desired to be just, being more rational,",244
Heathcote,GPE,My going or staying won’t make any difference to Heathcote. There’s a lot of ’em about here hates,254
Medlicot,GPE,"’s patrol. During this week he saw nothing of Medlicot, and never mentioned his name but once. On",260
Medlicot,GPE,that occasion his wife told him that during his absence Medlicot had been at the station.,260
Medlicot,GPE,"ashamed even of the appeal which he had made to Medlicot. He spoke aloud and laughed with the men,",266
Medlicot,GPE,"one with a positive suspicion, except Nokes, and Medlicot as the supporter of Nokes. But he had no",266
Medlicot,GPE,now he was disjoined from them by their sympathy with Medlicot! He had chosen to manage every thing himself without,266
Medlicot,GPE,"he had expressed himself to the women so vehemently respecting Medlicot, he met Bates coming home from his day’s",268
Brownbie,GPE,"his nickname, “I thought you were watching at Brownbie’s boundary?” Boscobel lowered his axe, and",291
Heathcote,GPE,"of that nature. All this was quite clear to Heathcote; and it was clear to him, also,",305
Medlicot,GPE,", friend or foe, Bates, his wife, Medlicot, and this Boscobel, spoke to him as though",306
Queensland,GPE,"tricks which the Brownbies played with cattle were notorious throughout Queensland and New South Wales, and by a certain class",332
New South Wales,GPE,"the Brownbies played with cattle were notorious throughout Queensland and New South Wales, and by a certain class of men were much",332
Moreton Bay,LOC,"there were men, old stagers, who had know Moreton Bay before it was a colony—in the old days",333
Brisbane,GPE,"The eldest son was at this time in prison at Brisbane, having on some late occasion been less successful than",335
quid”—or,GPE,father had rejoined with animation that unless “half a quid”—or ten shillings—were given him as his contribution to,337
the Darnley Downs,LOC,"he would inform against his son to the squatter on the Darnley Downs, and had shown him that he knew the very",337
