Location,ent_type,context,p_no
the United States,GPE,MANY years have passed since my wife and I left the United States to pay our first visit to England.,0
England,GPE,left the United States to pay our first visit to England.,0
England,GPE,"will give you and your wife a hearty welcome to England, for my sake.”",2
London,GPE,"The day after our arrival in London, we left our letter of introduction at the house",3
England,GPE,"favorite object of American interest, in the metropolis of England—the Tower of London. The citizens of the",4
the United States,GPE,England—the Tower of London. The citizens of the United States find this relic of the good old times of great,4
America,GPE,"In America, and (as I hear) on the continent",5
Europe,LOC,"and (as I hear) on the continent of Europe also, when your host invites you to dine at",5
England,GPE,"the compliment of arriving punctually at his house. In England alone, the incomprehensible and discourteous custom prevails of keeping",5
Suffolk,GPE,"on the waters of the lake which, in our Suffolk tongue, we called Greenwater Broad.",48
Suffolk,GPE,him (we used no tame ducks as decoys in Suffolk) was a little black terrier; a skilled master,52
London,GPE,they were all dead ducks on their way to the London market.,61
London,GPE,his own exertions; to set up an establishment in London; and to climb to political distinction by the ladder,85
America,GPE,"Parliament. An old friend, who had emigrated to America, had proposed to him a speculation in agriculture,",85
the Western States,GPE,"to him a speculation in agriculture, in one of the Western States, which was to make both their fortunes. My",85
the United States,GPE,a year past he had been away from us in the United States; and all we knew of him (instructed by,85
England,GPE,the enviable character of one of the richest men in England.,85
London,GPE,"my uncle offered to take me back with him to London, and keep me there until I had been brought",89
London,GPE,"of my place of refuge. My uncle departed for London, predicting that I should live to be a disgrace",91
America,GPE,should transmit his opinion of me to my father in America by the next mail.,91
Suffolk,GPE,"known, far and wide, in our part of Suffolk, as Dame Dermody.",93
colloquys which,GPE,dead husband before anybody who happened to be present—colloquys which struck the simple spectators mute with terror. To her,96
England,GPE,her that he had been unexpectedly obliged to sail for England at a moment’s notice; that he had arrived,117
London,GPE,"a moment’s notice; that he had arrived in London, and that he was detained there by business which",117
America,GPE,"of the stability of her husband’s grand speculation in America. The sudden departure from the United States, and",118
the United States,GPE,"’s grand speculation in America. The sudden departure from the United States, and the mysterious delay in London, were ominous",118
London,GPE,"from the United States, and the mysterious delay in London, were ominous, to her eyes, of misfortune",118
London,GPE,"My master means to take a post-chaise from London, and sends word that we may expect him in",122
America,GPE,"son were to accompany him, when he returned to America.",214
London,GPE,into that hateful speculation. He has raised money in London; he has let the house to some rich tradesman,215
America,GPE,"came to me from his mother. The land in America swallows it all up. We have no home,",215
London,GPE,gently. “And we may hear of her in London. Come with me.”,219
London,GPE,Late that night we were in London.,223
London,GPE,to be made at the various coach-offices in London. She also referred the lawyers to two of Dermody,224
the United States,GPE,A week afterward we sailed for the United States. Twice in that interval I communicated with the lawyers,225
America,GPE,"foretold it. Before we had been a year in America, the total collapse of his land speculation was followed",230
the United States,GPE,"some kind friends among the hearty and hospitable people of the United States, whom we were unaffectedly sorry to leave. But",231
England,GPE,"other relatives, when my mother and I returned to England. If I could only succeed in pleasing Mr. Germaine",232
America,GPE,This was one consideration that influenced us in leaving America. There was another—in which I was especially,233
Suffolk,GPE,"at least possible that some among his many friends in Suffolk might have discovered traces of him, in the year",234
England,GPE,in the year that had passed since I had left England. In my dreams of Mary—and I dreamed,234
London,GPE,"On our arrival in London, I started for Suffolk alone—at my mother",235
Suffolk,GPE,"On our arrival in London, I started for Suffolk alone—at my mother’s request. At her",235
