Location,ent_type,context,p_no
the brook water,LOC,"The great black wheel churned and circled in the brook water, and lichens and ferns and mosses made lovely all",14
Egypt,GPE,straight dark brows—the brows of the friezes of Egypt.,19
Naxos,LOC,"child born to the Forsaken in the savage forest of Naxos, or conceived by Persephone, in the eternal night",20
Calvados,GPE,the peasant proprietors of the district: the department of Calvados. But though small they were heavy in proportion to,23
Normandy,GPE,in the blue kirtle and the white head gear of Normandy.,57
France,GPE,"of the most fertile and most fair districts of northern France there was a little Norman town, very, very",95
York,GPE,"Its centre was a great cathedral, noble as York or Chartres; a cathedral, whose spire shot to",96
the Middle Ages,LOC,bells or the chaunting of choristers. A place of the Middle Ages still. With lanterns swinging on cords from house to,98
Provence,GPE,nearly that a girl leaning on one could stretch a Provence rose or toss an Easter egg across to her neighbour,98
St. Victorian,GPE,"delf jug, or at their tawdry coloured prints of St. Victorian or St. Scævola.",99
St. Scævola,GPE,or at their tawdry coloured prints of St. Victorian or St. Scævola.,99
Paris,GPE,This little town lay far from the great Paris highway and all greatly frequented tracks. It was but,101
blue‐eyed,GPE,"Now and then some one of the oval‐faced, blue‐eyed, lithe‐limbed maidens of its little homely households would sigh",102
Paris,GPE,"sigh and flush and grow restless, and murmur of Paris; and would steal out in the break of a",102
Calvados,GPE,"At twenty‐two Reine Flamma was the most beautiful woman in Calvados, and the most wretched.",111
this virgin gold,GPE,"spotlessness of this lily, refine even the purity of this virgin gold.",112
breeze‐blown,GPE,"rode his mule slowly through the pleasant poplar lanes and breeze‐blown fields of colza back to his little quiet homestead,",114
Pyrenees,LOC,"arched, slender feet of the southern side of the Pyrenees.",160
"wall,—mute",GPE,"eat nor drink, but turned her face to the wall,—mute.",166
Calvados,GPE,. They had seen the same face ere then in Calvados.,178
earth,LOC,"The snow fell, the storm raged, the earth was covered with ice and water; he took no",183
sun‐fed,GPE,"and lips like the carnation leaves, that rich, sun‐fed, dusky beauty, those straight dark brows.",189
Paradise,LOC,"yet gloriously, as the splendours of a dream of Paradise rest on the brain of some young sleeper wakening in",257
Liébana,GPE,"of fiend, but only the forest region of the Liébana.",257
East,LOC,"with the noble, calm, scornful beauty of the East, and they wore their rags with an air that",259
sierras,LOC,", famished, and foot‐weary, on their own sunburnt sierras.",264
Taric,GPE,"Taric, the strongest and fleetest and most well favoured of",270
Taric,GPE,"bull that all the matadors had failed to daunt; Taric, who had torn up the young elm, when",270
Taric,GPE,"as easily as a child plucks up a reed; Taric, who had stopped the fiercest contrabandista in all those",270
Taric,GPE,"“She is dead, Taric,” said Quità, meaning the woman she had",276
Taric,GPE,", one man, rising, advanced, and looked Taric full in the eyes.",285
Liébana,GPE,"“There are few wolves in the Liébana. Go and bury her if you choose, Phratos",291
