Location,ent_type,context,p_no
Italy,GPE,"IT was melancholy to admit that Italy also had ceased to interest him, thought Hamlin,",0
Apennine,GPE,the fast‐rising sun; misty blue‐green valley bounded by unsubstantial Apennine peaks and Carrara crags; yellow shimmer of vines and,0
Carrara,GPE,"; misty blue‐green valley bounded by unsubstantial Apennine peaks and Carrara crags; yellow shimmer of vines and of maize,",0
Italy,GPE,", nay, when the mere sense of being in Italy had done so; but now the very words “",0
lyrist,GPE,"never been your splash‐of‐scarlet and dash‐of‐orange‐and‐skyblue, lust‐and‐terror kind of lyrist; but he had begun his poetical career with a",1
Hamlin,GPE,"in those philistine days, and which had welcomed young Hamlin, with his girlish beauty and pre‐Raphaelite verses, as",1
Hamlin,GPE,"Poor old Perry! Absurd days those were, thought Hamlin, as he walked slowly towards the house, through",1
London,GPE,"Hamlin; it was that feeling which had been making London odious to him of late, and sent him abroad",1
Hamlin,GPE,Perry’s depressed voice had remained in Hamlin’s ears. This was the end of a bright,5
Florence,GPE,"might decently, on some pretext, slip off to Florence. And then—why, from Florence he might",5
Florence,GPE,"off to Florence. And then—why, from Florence he might go to America. He thought all those",5
America,GPE,"then—why, from Florence he might go to America. He thought all those big hotels, with the",5
Hamlin,GPE,"had a sort of half‐romantic, half‐idyllic charm, which Hamlin could not help recognising: it certainly was better than",6
the Lake of,LOC,largest characters: “I am gone to sketch at the Lake of Massaciuccoli; shan’t be back till lunch; please,7
Hamlin,GPE,shan’t be back till lunch; please look after Hamlin.”,7
Hamlin,GPE,"her iron on the brasier, and stared full at Hamlin with large wide‐opened eyes of strange dark‐greyish blue, beneath",9
Hamlin,GPE,The young woman eyed Hamlin for a second in no very gracious manner; then,13
Lucca,GPE,disturbed till nine; and the cook is gone to Lucca for provisions.”,14
HAMLIN,GPE,HAMLIN felt rather contrite and humiliated as he sat down at,28
Hamlin,GPE,"personality upon her notice. But her very indifference afforded Hamlin an opportunity, and, as it were, a",42
Hamlin,GPE,"English nationality had explained many otherwise unaccountable mixed types to Hamlin; but this took him by surprise, and left",46
Sicily,GPE,"was an Italian. I think her family came from Sicily or Sardinia, or somewhere,where there are Spaniards",48
Sardinia,GPE,"Italian. I think her family came from Sicily or Sardinia, or somewhere,where there are Spaniards and Moors",48
Aberdeen,GPE,“but my father was Scotch. He came from Aberdeen.”,48
Scotland,GPE,"“Have you ever been in Scotland?” he asked, just by way of saying",49
Italy,GPE,"close all further conversation, “I was born in Italy; my father was employed at Spezia in the docks",50
Spezia,GPE,was born in Italy; my father was employed at Spezia in the docks.”,50
Spezia,GPE,was one of those who make the big men‐of‐war at Spezia.”,52
Florence,GPE,"mamma says, we are the most beautiful children in Florence. They always give us chocolate and marrons glacés to",56
Perrys,GPE,"the kitchen. Mildred, the eldest of the little Perrys, sidled up to Hamlin, as he stood on",57
Hamlin,GPE,"the eldest of the little Perrys, sidled up to Hamlin, as he stood on the doorstep leading into the",57
Acrasia,GPE,blue eyes. “I call it the garden of Acrasia; because mamma told us once about Sir Guyon—,62
æsthetic,GPE,"a splendid, queenly creature slanged by a sentimental, æsthetic fishwife, as he defined his hostess to himself.",77
studio—“of,GPE,"said Perry, as they sat smoking in the sheltered studio—“of course I’m very happy, and that sort of",82
Hamlin,GPE,"“I think her extraordinarily good‐looking,” put in Hamlin, enjoying the authority of his own verdict.",98
Hamlin,GPE,"exactly a question of the body,” went on Hamlin. “That girl is one of the most singular",102
Venus Mystica,LOC,"want to do her picture, Mr Hamlin, as Venus Mystica,” and Mrs Melton Perry set her meagre features",104
Brynhilt,GPE,have some sort of tragic past—a kind of Brynhilt or Amazon.”,110
Italy,GPE,"some old friends of ours, and followed her to Italy. He got a very good position in the docks",113
Spezia,GPE,"He got a very good position in the docks at Spezia, but then the other chaps caballed against him,",113
Hamlin,GPE,"The whole of the two following days, Hamlin neither saw nor particularly remembered the strange girl whose champion",126
Perrys,GPE,"girl whose champion he had constituted himself against the little Perrys. An old chaise, with an older pony,",126
Lucca,GPE,"guest along the dusty roads to the old town of Lucca, to various villas, and other sights of the",126
Hamlin,GPE,"cypresses. At the end of the third day, Hamlin, while smoking after dinner with his host, insinuated",126
Florence,GPE,that he really thought he must be pushing on to Florence. A look of blank terror overspread poor Perry’s,126
America,GPE,"said Hamlin, hypocritically, “I intend going to America; and I really think I ought to do a",128
Italy,GPE,think I ought to do a little work before leaving Italy.”,128
Florence,GPE,can work much better here than in that swelter at Florence—”,135
Florence,GPE,the Villa Arnolfini until the Perrys should themselves return to Florence in October.,140
Hamlin,GPE,"first week of his stay at the Villa Arnolfini, Hamlin did not lose sight of the Perrys’ strange nursemaid",141
æsthetic,GPE,approach and become familiar with creatures who had caught his æsthetic and poetic fancy. He often saw her hurrying (,141
Hamlin,GPE,"what she called a menial. And even more frequently Hamlin would meet her taking the children for a walk,",141
