Location,ent_type,context,p_no
Upper Wessex,GPE,"approaching the large village of Weydon-Priors, in Upper Wessex, on foot. They were plainly but not ill",0
England,GPE,been matched at almost any spot in any county in England at this time of the year; a road neither,5
nick,GPE,"travelled for the public good, thimble-riggers, nick-nack vendors, and readers of Fate.",13
England,GPE,good experienced hand in my line. I'd challenge England to beat me in the fodder business; and if,28
begad,GPE,"in need of such articles? Hey? Why, begad, I'd sell mine this minute if anybody would",30
Henchard,GPE,own part. Her simplicity — the original ground of Henchard's contempt for her — had allowed her to live,145
Canada,GPE,sentences. Absolutely helpless she had been taken off to Canada where they had lived several years without any great worldly,146
England,GPE,"Jane was about twelve years old the three returned to England, and settled at Falmouth, where Newson made a",146
Falmouth,GPE,"old the three returned to England, and settled at Falmouth, where Newson made a living for a few years",146
Newfoundland,LOC,"He then engaged in the Newfoundland trade, and it was during this period that Susan",147
Newfoundland,LOC,with him longer. Newson left home again on the Newfoundland trade when the season came round. The vague news,148
England,GPE,"nothing. To the liege subjects of Labour, the England of those days was a continent, and a mile",149
Henchard,GPE,"journey, trusting solely to the dim light afforded of Henchard's whereabouts by the furmity woman. The strictest economy",154
Henchard,LOC,before tasted such rough bread as has been made from Henchard's wheat lately. 'Tis that growed out that,211
holland,GPE,"when the waiter had helped him on with a thin holland overcoat, went out and stood under the portico.",250
West,LOC,"fortune in the great wheat-growing districts of the West! I have some inventions useful to the trade,",285
America,GPE,"“To America — well, well,” said Henchard, in",286
Scotland,GPE,"“Yes, straight from the mountains of Scotland, I believe,” replied Coney.",319
Gallows Hill,LOC,"Romans, and that lots of us was hanged on Gallows Hill, and quartered, and our different jints sent about",322
the North Pole,LOC,know nothing of — and that's travelled a'most from the North Pole.”,325
Botany Bay,LOC,no more love for my country than I have for Botany Bay!”,326
jarreny,GPE,"dangerous. Eh, but you should take a summer jarreny to Edinboro', and Arthur's Seat, and",338
Edinboro,GPE,"Eh, but you should take a summer jarreny to Edinboro', and Arthur's Seat, and all round",338
Highland,LOC,"then go on to the lochs, and all the Highland scenery — in May and June — and you would",338
ye'll,GPE,"“If ye'll wait a minute,” said the Scotchman.",359
St. Peter's,GPE,"the King's Arms Hotel, the Market House, St. Peter's churchyard wall, ascending to the upper end of the",362
Mellstock,GPE,"carriers in and out of Casterbridge, who hailed from Mellstock, Weatherbury, The Hintocks, Sherton-Abbas,",374
The Hintocks,GPE,"of Casterbridge, who hailed from Mellstock, Weatherbury, The Hintocks, Sherton-Abbas, Kingsbere, Overcombe, and",374
Henchard,LOC,"of the street. If he wondered, though all Henchard's carts and waggons were rattling past him, you",376
Bristol,GPE,"passed out of sight that morning towards the Bath and Bristol road they went on silently, except for a few",386
North,LOC,"the Chalk Walk, leading to an angle where the North and West escarpments met. From this high corner of",386
West,LOC,"Walk, leading to an angle where the North and West escarpments met. From this high corner of the square",386
Henchard,GPE,The young man's hand remained steady in Henchard's for a moment or two. He looked over,389
America,GPE,against it? No; I'll not go to America; I'll stay and be your man!”,390
Henchard,GPE,his bag and retraced the North-West Avenue in Henchard's company as he had come. Henchard was all,394
Henchard,LOC,"Thus talking they returned, and entered Henchard's premises by the back way or traffic entrance.",398
Bethesda,GPE,". The newcomer stepped forward like the quicker cripple at Bethesda, and entered in her stead. She could hear",401
Chippendale,GPE,"that day, has cast lustre upon the names of Chippendale and Sheraton, though, in point of fact,",424
America,GPE,. “Do you and she come from abroad — America or Australia?” he asked.,429
Australia,GPE,Do you and she come from abroad — America or Australia?” he asked.,429
England,GPE,“No. We have been in England some years. I was twelve when we came here,430
Canada,GPE,years. I was twelve when we came here from Canada.”,430
Henchard,LOC,-grey eyes. The instant that she was gone Henchard's state showed itself more distinctly; having shut the,437
Begad,GPE,"“Begad!” he suddenly exclaimed, jumping up. “",438
Britain,GPE,"Amphitheatres, if not the very finest, remaining in Britain.",445
Rome,GPE,"Casterbridge announced old Rome in every street, alley, and precinct. It",446
Rome,GPE,"precinct. It looked Roman, bespoke the art of Rome, concealed dead men of Rome. It was impossible",446
Rome,GPE,"bespoke the art of Rome, concealed dead men of Rome. It was impossible to dig more than a foot",446
Empire,GPE,"without coming upon some tall soldier or other of the Empire, who had lain there in his silent unobtrusive rest",446
fibula,GPE,"the remains of his spear against his arm, a fibula or brooch of bronze on his breast or forehead,",446
Jotuns,GPE,form it might have been called the spittoon of the Jotuns. It was to Casterbridge what the ruined Coliseum is,448
Rome,GPE,"was to Casterbridge what the ruined Coliseum is to modern Rome, and was nearly of the same magnitude. The",448
Hadrian,GPE,", beheld the slopes lined with a gazing legion of Hadrian's soldiery as if watching the gladiatorial combat; and",450
china,GPE,in the town fit for you are those over the china-shop in High Street — and you can also,470
Henchard,LOC,", and there being no blind to screen the interior Henchard could see Donald Farfrae still seated where he had left",487
Henchard,GPE,fogs which had been allowed to grow so thick in Henchard's books as almost to baffle even the Scotchman's,488
Jersey,GPE,"been my custom for many years to run across to Jersey in the the way of business, particularly in the",507
Jersey,GPE,"let this giddy girl devote herself to me over at Jersey, to the injury of her name, all might",511
Jersey,GPE,"thereupon said no more. The letter to the young Jersey woman was carefully framed by him, and the interview",520
Mellstock,GPE,"and how we went with her to the party at Mellstock, do ye mind? — at old Dame Ledlow",544
Providence,GPE,"would say to herself. “It would be tempting Providence to hurl mother and me down, and afflict us",557
Begad,GPE,"was gone to her own room Henchard resumed. “Begad, I nearly forgot myself just now! What I",565
Henchard,GPE,"oiled casters. The old crude viva voce system of Henchard, in which everything depended upon his memory, and",578
ye'll,GPE,"don't take too much thought about things, or ye'll drive me crazy.”",580
Henchard,GPE,afforded by the fact of Donald being the depositary of Henchard's confidence in respect of his past treatment of the,582
Solomon,GPE,"barns, with doorways as high as the gates of Solomon's temple, opened directly upon the main thoroughfare.",584
Durnover Hill,LOC,the writer by coming at once to a granary on Durnover Hill. As this was the granary whose contents Henchard was,585
Scotland,GPE,"silence. “You are anxious to get back to Scotland, I suppose, Mr. Farfrae?” she inquired",600
Scotland,GPE,"the song you sang at the Three Mariners — about Scotland and home, I mean — which you seemed to",602
Casterbridge,GPE,"beauty was not regarded with much interest by anybody in Casterbridge. Donald Farfrae's gaze, it is true,",610
waggon,GPE,half-past six Henchard entered the yard; the waggon was horsed that Abel was to accompany; and the,622
Blackmoor Vale,GPE,"by the waggons next day was a long one into Blackmoor Vale, and at four o'clock lanterns were moving about the",628
Henchard,LOC,"Just at this time Farfrae, who had been to Henchard's house to look for him, came out of",632
Henchard,GPE,"Donald went up to him, for he saw in Henchard's look that he began to regret this.",643
Durnover,LOC,". One day the daughters of a deceased farmer in Durnover wanted an opinion of the value of their haystack,",648
Durnover,LOC,He went towards Durnover. On his way he overtook Farfrae. They walked,658
Blackmoor Vale,GPE,"! 'Tis splendid stuff that we've got from Blackmoor Vale. By the by, the people in Durnover want",661
Durnover,LOC,"Blackmoor Vale. By the by, the people in Durnover want their hay valued.”",661
