Location,ent_type,context,p_no
Arctic,LOC,"silent Briton, fenced round about with reserve as with Arctic icebergs, fancies himself stranded on a desert island with",0
London,GPE,"studied their fill of the daily wisdom purchased at the London bookstall, each glared out of his window, noted",1
Yalden,GPE,"and began again. 'The train is due at Yalden now,' he said; 'we are late",3
Yalden,GPE,"'Do you know whether Trelingham Court is far from Yalden?' Now was the time for any hidden,",5
Iliad,LOC,"and there he cared only for the fighting in the Iliad, in which he would have liked to join.",20
Yalden,GPE,"The train was stopping at Yalden, a steep, scrambling, irregular village that came",32
Glanville,GPE,"prospect and pointing out the way they had come to Glanville, the artist could not help admiring the beautiful old",34
Versailles,GPE,"heard of the manners of la vieille cour , that Versailles the graces of which must have been hopelessly lost during",35
Cornwall,GPE,famous by his great book on the holy wells of Cornwall and Cumbria. Glanville received this piece of news with,37
Cumbria,GPE,his great book on the holy wells of Cornwall and Cumbria. Glanville received this piece of news with a polite,37
London,GPE,For an instant the design which had brought Glanville from London was in danger. He had more than once started,37
Andaman,LOC,to missionary efforts for explaining to the natives of the Andaman and neighbouring islands the exact difference between a cope and,38
Catholicus,GPE,"recognised by their Eastern brethren. Their success with the Catholicus of babylon, so far, had been all they",38
Catholicus,GPE,"'The Catholicus of Babylon!' said Glanville, who had recovered",39
Babylon,GPE,"'The Catholicus of Babylon!' said Glanville, who had recovered his good",39
Rome,GPE,; 'is that the same as the Pope of Rome?',39
Rome,GPE,"much gravity, 'The same as the Pope of Rome! Oh dear, no! I see your mistake",40
Babylon,GPE,It is true that St. Peter dates an epistle from Babylon which our brethren of the Western Obedience interpret as Rome,40
Rome,GPE,"Babylon which our brethren of the Western Obedience interpret as Rome. But the Catholicus is independent of Rome, like",40
Catholicus,GPE,"of the Western Obedience interpret as Rome. But the Catholicus is independent of Rome, like our own archbishop.",40
Rome,GPE,"interpret as Rome. But the Catholicus is independent of Rome, like our own archbishop. He sits in the",40
St.,GPE,"our own archbishop. He sits in the place of St. —' He hesitated, trying to remember the name",40
Babylon,GPE,"It began— ""'Belshazzar gave a feast at Babylon in his hall.'""",41
