Location,ent_type,context,p_no
Wales,GPE,HAVE you ever been to Wales? I do not ask this question of any one,0
Virginia,GPE,"and Heloise, moving as those of good Paul and Virginia. Probably those wise ones will be very few;",0
Providence,GPE,"estimate of my own powers of narration, however amply Providence may have gifted me with self-appreciation, I",0
Wales,GPE,"Have you ever been to Wales? If you have ever visited the pretty, dirty",1
Ireland,GPE,"potatoes and absenteeism and head-centres flourish, alias Ireland, you have no doubt passed through a part of",1
the Rhyl Sands,LOC,"great frowning Orme's Head, or by excavations in the Rhyl Sands. Perhaps you have gone wedding-touring to Llanberis",1
Wales,GPE,"I have lived in Wales, so I speak with authority; and for my",2
Murray,GPE,"why am I drivelling on, like a sort of Murray and water, on the manners and character of this",3
Megæra,GPE,"as this world goes; some of them, capricious Megæra and Tisyphone lashed with scorpions for their derelictions. This",3
Providence,GPE,Record would charitably have us believe is the way of Providence—equally with those who enjoy the flavour of violent,3
Atlantic,LOC,"of a mountain, or submerged it beneath the big Atlantic waves; a valley lovelier than that one in """,4
Paris,GPE,"that one in "" Ida,"" where ""beautiful Paris, evil-hearted Paris,"" pastured his sheep",4
Paris,GPE,","" where ""beautiful Paris, evil-hearted Paris,"" pastured his sheep and his jet-black",4
Parises,GPE,"valley where there are no dangerous, good-looking Parises, only one or two red-headed Welsh squires",4
England,GPE,"prerogative and King Charles, or fought and lived for England and liberty: when most houses were black and white",5
Noes,GPE,"a species of Yes after half-a-dozen Noes; I cannot imagine why, for I certainly",6
Carmel,GPE,"(the Seer's) eyes on the top of Carmel, when, by his faith, he brought up",7
London,GPE,up the tarrying rain from the sea's chambers. London is pouring out her noble army of haberdashers and greengrocers,7
Scarborough,GPE,"of haberdashers and greengrocers into Ramsgate and Margate, and Scarborough and Llandudno. The John Gilpins of to-day",7
Llandudno,GPE,"and greengrocers into Ramsgate and Margate, and Scarborough and Llandudno. The John Gilpins of to-day are not",7
Edmonton,GPE,"with a modest outing to the ""Bell"" at Edmonton, ""all in a chaise and pair.""",7
Helvellyn,GPE,"are stretching their cramped legs up the steep sides of Helvellyn and Mont Blanc, and surveying the ""frozen hurricane",8
Salisbury Plain,GPE,haycocks: to-night it is as flat as Salisbury Plain. All day long the waggons have gone grinding and,8
Grand Pré,LOC,"-brown ale to the reapers of the village of Grand Pré. And the haymakers drink insatiably, and wipe the",9
Wales,GPE,"Perceiving their condition, though too old an inhabitant of Wales to be in any degree surprised at what is,",9
niais,GPE,"addressed to me; they always sound to me so niais.""",23
Europe,LOC,the carmine out of the cheeks and lips that sent Europe mad three centuries ago. An old sheep-dog,83
the Agra Bank,GPE,"as himself, the sinking of his little all in the Agra Bank, with resignation and fortitude truly Christian; but what",90
Queens,GPE,"scarlet pyramids of strawberries, great bag-shaped British Queens, and little racy, queer-tasted hautbois.",98
Rouen ducks,GPE,", and with cinnamon stockings down to their heels; Rouen ducks, and scraggy-necked turkeys. She is doing",158
Cochin,GPE,in a shower on to the broad backs of the Cochin householders. Fiercely the war of chickens—the pushing,168
Æneas,GPE,"metaphorically upon his back, almost as much as pious Æneas did the old Anchises literally. Esther suspends her employment",211
England,GPE,"my life, and I have the best woman in England for my mother.""",274
St. Petersburg,GPE,"locust's, he could be heard from here to St. Petersburg.""",282
Bermuda,GPE,"have to disappear before he rejoins his gallant corps in Bermuda), and looking very sentimental; yet not that",299
downspikes,GPE,"but is now a sphere of delicatest, fragilest, downspikes, and blows it like a child to see what",309
Naullan,GPE,"he had got them at Hugh Hughes's, at Naullan, and advised me to go and do likewise.",342
Miranda,GPE,but I am sure that if Esther had been in Miranda's place she would have so ended; would have,349
Plas Berwyn,GPE,through the wood from Glan-yr-Afon to Plas Berwyn—from Esther's home to Robert's. It,355
Plas Berwyn,GPE,"The apples' round faces are reddening in the little Plas Berwyn orchard; the shorn fields slope barely, slantwise along",355
Plas Berwyn,GPE,Plas Berwyn is a house of about the same size as Glan,357
Plas Berwyn,GPE,", as on the Sabbath morn every living soul at Plas Berwyn, every reluctant scullion and recalcitrant housemaid, is trundled",359
Ash,GPE,Sunday. Sunday is to them a sort of aggravated Ash Wednesday and Good Friday rolled into one. On Saturday,360
Geneva,GPE,"she has a miniature of the departed Brandon, in Geneva gown and bands, about as big as a teacup",361
bustless,GPE,"on the napes of their necks—their little, bustless, waistless, hipless figures, long plaintive noses,",362
waistless,GPE,"napes of their necks—their little, bustless, waistless, hipless figures, long plaintive noses, and meek",362
Carisbrook,GPE,", went knicketty-knock, Like a pebble in Carisbrook well.""",369
shire,GPE,"the Cravens' father, and they live in —shire; that is all I know about them.""",381
Plas Berwyn,GPE,"heard of nothing but Glan-yr-Afon and Plas Berwyn, Plas Berwyn and Glan-yr- Afon, and",400
Plas Berwyn,GPE,"but Glan-yr-Afon and Plas Berwyn, Plas Berwyn and Glan-yr- Afon, and now I'm",400
Feejee,GPE,", pettishly—""no sensibler than rubbing noses together, as the Feejee islanders did; for her part, she hated it",406
Kaffirs,LOC,in my life without there being a collection for the Kaffirs or the Jews or the Additional Curates or something the,465
knolly park,LOC,", to open the gates; then a grassy, knolly park; then a great red house, likewise picked out",486
St. John,GPE,"""Oh no! that was St. John.""",500
St. John,LOC,"("" St. John! What a pretty name! How much prettier than",501
St. John,GPE,"not you going to wait for Miss Craven? And St. John is not down, either,"" suggests Lady Gerard",505
St. Cecilia,GPE,"ever ask her to sit for St. Catherine, or St. Cecilia, or St. Anybody else; hers is essentially beauté",513
St. John,GPE,"Although Miss Blessington looks shocked, St. John only laughs. He looks pleasant when he laughs;",516
St. John's,GPE,". Only one little flash of indignant contempt shoots from St. John's grey eyes. ""How I hate my father!",518
St. John,GPE,"Nobody ever speaks much at dinner at Felton. St. John because he knows, if he trusted himself to speak",519
London,GPE,"I travelled once with a woman who ate gingerbread from London to Holyhead without stopping.""",529
Holyhead,GPE,"once with a woman who ate gingerbread from London to Holyhead without stopping.""",529
St. John,GPE,"brains or down his throat, whichever you choose. St. John, with his elbow resting on the shining oak table",540
St. John,GPE,"dogs, for callers, for old almswomen, for St. John—so that none can take it personally, can",543
St. John,GPE,"(""H'm I That means with St. John— ""'Walking in a shady grove With my",547
