Location,ent_type,context,p_no
Derbyshire,GPE,"THE light was fading among the Derbyshire hills. The trees, now almost bare, were",0
Stockport,GPE,"in the poorest ranks of the workers in a crowded Stockport alley, he had started in life as a mill",17
Cambridge,GPE,"peculiar training; so he had sent his sons to Cambridge, and had lived to see them leave their college",18
Stockport,GPE,"Mr Gates was a member of a firm of Stockport solicitors, and his country house was but a stone's",82
London,GPE,on the last scene of the most popular play in London. The appreciative criticism of the pit and the tearful,105
Jupiter,LOC,"certainly favoured me so far; and now, O Jupiter, aid us! or rather Cupid, for I",146
North,LOC,at the address. I know it's somewhere down North.',148
Firth Vale,GPE,"its pockets. 'Mr John Stanley, Aspinshaw, Firth Vale.'",149
Derbyshire,GPE,'Firth Vale—Firth Vale. That's in Derbyshire. Ah me!',150
closed'll,GPE,"'The next work-day the mill's closed'll be a wedden-day, I s'pose,'",178
their's'll,GPE,", so to say, to oursel', for their's'll be ours,' said Sigley.",191
gulf,LOC,"school of thought at college, and to him the gulf which separated him from his father was one that could",199
Cambridge,GPE,"one particular point. When they had come back from Cambridge a year before, they had found a new and",201
Firth Vale,GPE,a new and interesting feature in the social aspect of Firth Vale. Clare Stanley had come home from the German boarding,201
Liverpool,GPE,a visit she had recently paid to an aunt in Liverpool she had been seen to talk more than once to,203
Manchester,GPE,and that she had left the Firth Vale Station for Manchester by an early train alone. But the worst of,203
London,GPE,"Ferrier died, she and her father had gone to London to spend a month; and the time of her",204
London,GPE,"Clare herself was glad to go to London, though not so glad to leave the scene of",205
England,GPE,"'Well, I've been in England some years now,' he said, with a",227
The Ash Grove,GPE,"'Whatever you like, my dear. ""The Ash Grove.""'",231
England,GPE,"Surely there is a fight to be fought here in England, for instance, too. I don't know",234
England,GPE,"mean to speak otherwise than generally. I believe in England it is considered ""bad form"" to show feeling",238
Europe,LOC,untrained battalions to scatter like chaff the veteran armies of Europe. She understood it all as she listened to the,249
Liberty,GPE,in every note of which breathes the very soul of Liberty.,249
London,GPE,"'We've come to London on business,' said he.",259
