Location,ent_type,context,p_no
morocco,GPE,"the mantelpiece, and his hypodermic syringe from its neat morocco case. With his long, white, nervous fingers",0
Beaune,LOC,"Yet upon that afternoon, whether it was the Beaune which I had taken with my lunch, or the",2
Jezail,GPE,"sat nursing my wounded leg. I had had a Jezail bullet through it some time before, and, though",18
Riga,GPE,"refer him to two parallel cases, the one at Riga in 1857, and the other at St. Louis in",19
St. Louis,GPE,"one at Riga in 1857, and the other at St. Louis in 1871, which have suggested to him the true",19
Paris,GPE,", with some remarks upon the uses of plaster of Paris as a preserver of impresses. Here, too,",26
England,GPE,"'It is very customary for pawnbrokers in England, when they take a watch, to scratch the",53
England,GPE,"mother was dead, and I had no relative in England. I was placed, however, in a comfortable",70
Edinburgh,GPE,"placed, however, in a comfortable boarding establishment at Edinburgh, and there I remained until I was seventeen years",70
London,GPE,"leave and came home. He telegraphed to me from London that he had arrived all safe, and directed me",70
London,GPE,", was full of kindness and love. On reaching London I drove to the Langham, and was informed that",70
Morstan,GPE,"drove to the Langham, and was informed that Captain Morstan was staying there, but that he had gone out",70
the Andaman Islands,LOC,"some books, and a considerable number of curiosities from the Andaman Islands. He had been one of the officers in charge",75
England,GPE,did not even know that his brother officer was in England.',77
London,GPE,"The envelope too, please. Post-mark, London, S.W. Date, July 7. Hum! Man",83
Morstan,GPE,"mystery! What do you intend to do, Miss Morstan?'",83
London,GPE,has spent nearly a quarter of a million upon the London poor.',100
Morstan,GPE,"Look at it in this way, then. Captain Morstan disappears. The only person in London whom he could",112
London,GPE,then. Captain Morstan disappears. The only person in London whom he could have visited is Major Sholto. Major,112
London,GPE,. Major Sholto denies having heard that he was in London. Four years later Sholto dies. Within a week,112
Morstan,GPE,"Sholto dies. Within a week of his death Captain Morstan's daughter receives a valuable present, which is repeated",112
Morstan,GPE,", here is a four-wheeler, and Miss Morstan is inside. Are you all ready? Then we",114
the Andaman Islands,LOC,"He and papa were in command of the troops at the Andaman Islands, so they were thrown a great deal together.",117
Morstan,GPE,me nervous and depressed. I could see from Miss Morstan's manner that she was suffering from the same feeling,123
Afghanistan,GPE,"cheer and amuse her by reminiscences of my adventures in Afghanistan; but, to tell the truth, I was",131
London,GPE,", the fog, and my own limited knowledge of London, I lost my bearings, and knew nothing,",131
Surrey,GPE,"the Vauxhall Bridge Road. We are making for the Surrey side, apparently. Yes, I thought so.",132
Thames,GPE,"indeed get a fleeting view of a stretch of the Thames, with the lamps shining upon the broad, silent",133
South London,GPE,. An oasis of art in the howling desert of South London.',139
Morstan,GPE,". 'That is my name. You are Miss Morstan, of course. And these gentlemen—'",141
