Location,ent_type,context,p_no
Wattleborough,GPE,As the Milvains sat down to breakfast the clock of Wattleborough parish church struck eight; it was two miles away,0
London,GPE,'There's a man being hanged in London at this moment.',1
russet,GPE,"bold, handsome features, and very beautiful hair of russet tinge; hers was not a face that readily smiled",9
Jasper,GPE,"'No, no,' fell from Jasper, thoughtfully. 'I don't think you'd",36
Reardons,GPE,'It would amuse me very much if the Reardons got a lot of money at Mr. Yule's death,49
London,GPE,"breakfast, he leaned back and began to unfold the London paper that had come by post.",51
Wattleborough,GPE,"cattle-market to-day in the town of Wattleborough, droves of beasts and sheep occasionally went by,",55
London,GPE,"year, as a rule, Jasper came down from London to spend a fortnight with them; to-day",56
London,GPE,"on less than a hundred and fifty a year. London, you know — '",79
Homer,GPE,"We talk of literature as a trade, not of Homer, Dante, and Shakspeare. If I could only",98
Wattleborough,GPE,"conjecture was rendered a certainty. Maud had walked to Wattleborough, where she would meet Dora on the latter's",125
Wattleborough,GPE,Mr. Yule had inhabited a house at the end of Wattleborough remote from Finden.,126
London,GPE,"'Our London visitors came yesterday,' she began by saying.",127
Reardons,GPE,of Jasper's friendship with Mrs. Edmund Yule and the Reardons? Mightn't it be a little awkward?',135
Wattleborough,GPE,fact that he cared little for female society. In Wattleborough and the neighbourhood opinions varied greatly as to this gentleman,141
London,GPE,"obtained a clerk's place in the office of a London newspaper. Three years after, his father died,",143
Hertfordshire,GPE,"acquaintance who had started a small paper-mill in Hertfordshire. His speculation succeeded, and as years went on",143
London,GPE,"in the meantime, had drifted from work at a London bookseller's into the modern Grub Street, his adventures",143
Wattleborough,GPE,"to take an important part in the municipal affairs of Wattleborough. He was then a remarkably robust man, fond",145
Hebrides,LOC,"a confirmed invalid. On an autumn expedition in the Hebrides, he slept one night under the open sky,",145
Wattleborough,GPE,"to resign himself to his fate, and at present Wattleborough saw little of him. It seemed likely that he",145
Wattleborough,GPE,"deal, I think, to counteract those influences in Wattleborough.'",194
England,GPE,You would doubtless like to see military conscription introduced into England?' said Jasper.,197
Germany,GPE,successful? Because the damnable education movement interferes. If Germany would shut up her schools and universities for the next,198
London,GPE,"Milvain, with a clear vision of his friend in London, burst into laughter. But at that point Alfred",210
Great Western,LOC,"common he turned into a short lane which crossed the Great Western railway, and thence by a stile into certain meadows",222
Jasper,GPE,was that it lay sheltered from all winds; to Jasper a wind was objectionable. Along the bottom ran a,222
Wattleborough,GPE,"In a sort of way. I was born in Wattleborough, and my people have always lived here. But",232
Oxford,GPE,he began with money and friends; he came from Oxford into the thick of advertised people; his name was,245
London,GPE,he said. 'In less than five minutes a London express goes by; I have often watched it here,284
London,GPE,a train like that that I first went up to London. Not really the first time; I mean when,294
London,GPE,! A boy of eighteen going to live independently in London; think of it!',294
London,GPE,"to me. A friend of mine was studying in London for some Civil Service exam., so I declared",296
London,GPE,"thing. I read voraciously, and got to know London. I might have gone to the dogs, you",298
London,GPE,you know; but by when I had been in London a year a pretty clear purpose began to form in,298
London,GPE,Do you think you will keep up their acquaintance in London?',324
Midway,GPE,"Midway in the following morning, as Jasper sat with a",328
London,GPE,"He unfolded a London evening paper, and indicated a long letter from a",330
the Malvern Hills,LOC,'Did you ever come across Cottle's poem on the Malvern Hills? No? It contains a couple of the richest,340
Wattleborough,GPE,and perhaps a trifle condescending; there were people in Wattleborough who declared their airs of superiority ridiculous and insufferable.,347
London,GPE,'I have no friends of my own age in London.',350
Yules,GPE,For two days nothing was seen of the Yules. Jasper went each afternoon to the stream in the,357
London,GPE,'I shall go to London this afternoon.',359
Wattleborough,GPE,"was ready to leave the house for her engagements in Wattleborough, her brother came into the hall and took his",365
Yules,GPE,you think I ought to say good bye to the Yules? Or won't it signify?',368
London,GPE,"wish on their part that I should see them in London. No, I'll just leave you to say",370
Midland,GPE,"had a brother who was a struggling shopkeeper in a Midland town. Some ten years ago, William Milvain,",381
Wattleborough,GPE,"borrowed a hundred and seventy pounds from his brother in Wattleborough, and this debt was still unpaid; for on",381
Wattleborough,GPE,"Yule. That gentleman had gone in the carriage to Wattleborough, half an hour ago, with his brother.",390
London,GPE,say good-bye to him. I return to London in a few hours.',393
London,GPE,are not often invited to correspond with literary ladies in London.',401
London,GPE,"of her. Who knows but you may live in London some day, and then she might be valuable —",412
Hampstead,GPE,"day one enjoyed extensive views. The green ridge from Hampstead to Highgate, with Primrose Hill and the foliage of",415
St. John's,GPE,"'s Park in the foreground; the suburban spaces of St. John's Wood, Maida Vale, Kilburn; Westminster Abbey and",415
Maida Vale,GPE,"; the suburban spaces of St. John's Wood, Maida Vale, Kilburn; Westminster Abbey and the Houses of Parliament",415
