Location,ent_type,context,p_no
London,GPE,"of the streets, but indoors, in the tall London house, there was only a sickly, yellow twilight",0
London,GPE,"Downstairs, in the little study giving on a meagre London yard, a girl was bending over a desk.",1
Winchester,GPE,"and her young brother Jimmie, who had arrived from Winchester, sat with a few old friends in the dining",7
London,GPE,"men's feet, as they staggered down the narrow London staircase with their heavy burden, and then someone had",7
England,GPE,‘England—I may say the world—is mourning to,9
the Kingdom of Heaven,GPE,cut in glittering gilt letters: ‘Of such is the Kingdom of Heaven.’ And everywhere there was the whiteness of graves,14
London,GPE,"buildings lost in the murkiness of the horizon line, London was spread out. Here and there a dome,",18
London,GPE,"taking the boy by the arm, ‘there's London! We're going to make it listen to us",19
St. John's,GPE,"garden, for it lived then in a house in St. John's Wood; a child who was devoted to animals and",29
Italy,GPE,"said that she was poorly, and had gone to Italy, and then they said that she was very ill",32
Italy,GPE,"brows, notching and slicing at her ships, that Italy and heaven were perhaps the same place. Nurse said",32
Italy,GPE,"that, some little time before her mother went to Italy, they took her upstairs one day and showed her",33
china,GPE,"with his fat, pink cheeks, his round, china-blue eyes, his dump of a nose,",33
London,GPE,"now, for they had moved to another quarter of London, and the change made a vast difference in the",35
Wuthering Heights,GPE,favourite poem—or thrilled with the lurid emotion of Wuthering Heights. A little later Villette became her cherished book;,38
Jerusalem,GPE,"to her at all. The poignant tragedy enacted at Jerusalem ate into her heart, and this child of fourteen",40
stigmatises,GPE,"diatribes on virtue before she had comprehended what civilised mankind stigmatises as vice. Emile: ou, de l'Education was",41
Italy,GPE,"Em'ly is a lost woman, because she goes to Italy with that Mr. Steerforth. Was Mr. Steerforth a lost",44
Australia,GPE,"of a Peninsular and Oriental steamer on its way to Australia, and after that, on the mornings when the",50
Australia,GPE,"applied. During the months in which those letters from Australia grew rarer, the girl understood for the first time",50
Zermatt,GPE,get a long holiday. He wanted to go to Zermatt. At the Riffel Alp he would get the air,56
London,GPE,"AS sometimes happens with busy people in London, the Erles had hundreds of acquaintances and but few",61
Paris,GPE,"It was a habit which she had picked up in Paris, when she was working in a sculptor's studio",62
Mayfair,LOC,"found her ensconced in a workman's flat in the Mayfair district, with one small servant, whom she had",64
Whitechapel,GPE,"with one small servant, whom she had befriended in Whitechapel.",64
South Kensington,GPE,"go in and try. I suppose it'll mean South Kensington, the Royal Academy, and then—portraits of",70
Providence,GPE,". As for my own, I leave it to Providence.’",83
Kentish Town,LOC,a crêche that a friend of mine has started in Kentish Town. And now I'm trying to cultivate a sense,87
Essex,GPE,". ‘She drifted into the East-end from Essex, about three years ago, and became a drudge",91
London,GPE,"and never dared to go back. Mary, these London idylls are not pretty. She is, however,",91
Providence,GPE,"My dear, it was only by the intervention of Providence that I didn't have to dine the first night",93
Kentish Town,LOC,"velvet hat-strings, ‘to the crêche in Kentish Town to see Evelina's baby. I'm going on",97
Paris,GPE,"charming trams. I told Worth when I was in Paris that I always went on the tops of omnibuses,",97
Europe,LOC,", who had knocked about the most depraved society in Europe for half a century, and who clung with amiable",103
London,GPE,", of course, you prefer an artistic life in London,’ he was relieved, distinctly relieved, when",112
India,GPE,". I am thinking seriously of taking that trip to India and Australia, of which I told you.’",135
Australia,GPE,"am thinking seriously of taking that trip to India and Australia, of which I told you.’",135
Canada,GPE,"Woman Question. I might come home by way of Canada, and if so, the thing would take me",137
St. John's,GPE,"same expression as of old, in the summerhouse in St. John's Wood, when she sat alone notching and slicing at",146
London,GPE,spectator the impression that he was a grown-up London gutter-boy. But in truth he had had,147
St. John's,GPE,"whom Mary remembered as the daughter of a confectioner in St. John's Wood, a girl who affected peacock-blue velveteen",152
Paris,GPE,"‘How nice it must be in Paris,’ said Mary with a sigh. A place",163
Russias,GPE,"I've just come from the Ambassador of all the Russias,’ drawled a pretty woman to Lady Jane,",166
Vous,GPE,"remember Lady Blaythewaite doesn't like sugar.’ ‘Vous versez le thé avec une grâce parfaite,’ sighed",168
India,GPE,"went on, ‘You've sent him off to India, you naughty child, and he may die of",177
Oxford,GPE,journalism. You pluck your editor nice and hot from Oxford—someone who has none of the old hackneyed Fleet,187
London,GPE,expected to sympathise with this lady's adventures in a London music-hall.,192
Fourth,GPE,"you say early Victorian now, or late William the Fourth?’",207
china,GPE,"the fire, with its silver kettle, its dainty china, and the hot cakes which cook used to make",210
the Central London,GPE,"dispiriting enough. Art and artists, as exemplified in the Central London, were but doubtfully alluring; Mary wondered if anywhere",212
Haslemere,GPE,"on that long summer day which they had spent at Haslemere, and finally at Tilbury, when the great P.",215
Tilbury,GPE,"which they had spent at Haslemere, and finally at Tilbury, when the great P. and 0. steamer had",215
England,GPE,that my health has vastly improved since my departure from England; the fact alone that I anticipate with pleasure the,217
England,GPE,"in relation to a possible future together before I left England. But I am paying you no mean compliment,",219
Indian Empire,GPE,of such widely-differing ethical standards as this great Indian Empire—’ and here the handwriting changed again to the,219
Haslemere,GPE,"he had even liked the sketch she had made at Haslemere, on that last day they had spent in the",220
Billington,GPE,"Smith, Mary Gwendo]en; Walsh, Joseph Frederick; Billington, George Francis; Thomson, Pamela Evelyn; Beadle",225
Thomson,GPE,"Walsh, Joseph Frederick; Billington, George Francis; Thomson, Pamela Evelyn; Beadle, Reginald Forsyth.’",225
Londoner,GPE,"Though young, he was, after all, a Londoner, and had the Cockney's intuitive knowledge of the",227
Somervail,GPE,"it by?” And he says, “By Somervail.” Well, I never heard of him—",238
Somervail,GPE,"later comes a stiff kind of a letter from this Somervail, saying I must call at once, that evening",240
London,GPE,Mr. Somervail is the art critic of two or three London papers?’,243
Billington,GPE,"be devoted to celebrating the admittance of Messrs. Walsh, Billington, and Beadle to the Royal Academy Schools, for",249
portmanteaux,GPE,"crowded, garishly coloured omnibuses, the hansoms laden with portmanteaux on their way to Waterloo Station, the flaxen hair",252
London,GPE,out of his office quicker than any other editor in London.,255
London,GPE,"with soot, and adorned only with a map of London on a roller; on the floor was stretched a",262
Discobolus,GPE,"better, after all, than stippling eternally at the Discobolus—for it was the Discobolus this time, with",280
Discobolus,GPE,"stippling eternally at the Discobolus—for it was the Discobolus this time, with which she was to try her",280
New Zealand,GPE,"like to telegraph to Vincent, who was now in New Zealand, but she felt the impulse was a silly one",301
Liverpool,GPE,lodgings in Bulstrode Street. Vincent Hemming had telegraphed from Liverpool; he was to be in London that afternoon.,305
London,GPE,had telegraphed from Liverpool; he was to be in London that afternoon.,305
Whitechapel,GPE,a lot of human nature one sees down there in Whitechapel.’,311
London,GPE,"wait, all alone. He can't be in London till four o'clock, so I don't imagine I",318
London,GPE,"‘It's doubtfully alluring—the London ball of to-day,’ assented Mary,",328
Euston,GPE,". Secretly, she would have liked to go to Euston to meet her lover, but he had said nothing",332
London,GPE,", collecting his manifold baggage, hailing a cab. London was the richer for one important person; London contained",332
London,GPE,. London was the richer for one important person; London contained her lover!,332
London,GPE,"chambers in the Temple; passing, actually rolling on London streets, in a London cab, not so very",334
London,GPE,"passing, actually rolling on London streets, in a London cab, not so very far from where she sat",334
London,GPE,"; stuffy with the damp, vitiated air of a London night verging on August. Few people passed. Bulstrode",351
the grey dawn,LOC,", she lay with her eyes wide open, until the grey dawn began to creep in behind the dingy white blind.",357
Atlantic,LOC,"‘And did you have a good passage across the Atlantic?’ asked Mary, when she had made him",361
the Canadian Pacific,LOC,‘I'm glad you came back by way of the Canadian Pacific. And you went to Ottawa—and Niagara—,363
