Location,ent_type,context,p_no
shewn,GPE,"freak of fortune, the whole family at Dunaghee had shewn obstinate symptoms of individuality from their childhood, and,",51
Scotland,GPE,"mountainous, though it lay in a northern district of Scotland; it was bleak and solitary, with vast bare",82
Hadria,GPE,", not been without its influence in the forming of Hadria's character. She, more than the others,",82
Hadria,GPE,"There are such things as acquired tricks,” returned Hadria.",122
London,GPE,", in her excitement. “I am going to London with Mrs. Trevelyan, to help her in her work",180
china,GPE,doing; she did not care to paint indifferently on china; she was a mere encumbrance—a destroyer as,182
Hadria,GPE,"The notion of Hadria in the capacity of the family consolation, created a",185
London,GPE,was anxious to know when Algitha intended to go to London. Nobody doubted for a moment that she would hold,191
FULLERTON,GPE,"MRS. FULLERTON had gone to the study, to consult with her",199
shewn,GPE,"In her youth, Mrs. Fullerton had shewn signs of qualities which had since been submerged. Her",205
Hadria,GPE,"hope you have not all been sitting up talking in Hadria's room, as you are too fond of doing",223
Hadria,GPE,"no sympathy with these passionate discouragements that alternated, in Hadria, with equally passionate exaltations.",242
Hadria,GPE,"In Hadria's room that night, Algitha finally decided to delay",270
Hadria,GPE,"and the sound of their talk had caused, in Hadria, an unutterable depression. The light, conventional phrases",288
Fullerton,GPE,“My name is Fullerton—Hadria Fullerton.”,320
Parthena,LOC,an epoch in my life when I first read your Parthena.”,327
Hadria,GPE,Miss Du Prel glanced helplessly at Hadria; rising then and looking out of the window at,353
South,LOC,", as objects do in the clear air of the South. Ah me, the South! Miss Du Prel",374
South,LOC,"clear air of the South. Ah me, the South! Miss Du Prel has spent much of her life",374
Italy,GPE,little fortnight that we spent with mother and father in Italy? I seem now to be again under the spell,374
South,LOC,"! Oh, Algitha, I must go to the South soon, soon, or I shall die of home",374
South,LOC,"it is true, but meanwhile the thought of the South possesses me. I confess I think mother had some",374
Hadria,GPE,"Prel grew more intimate, and more deeply interesting to Hadria, every day.",377
Hadria,GPE,"MISS DU PREL had promised to allow Hadria to drive her to Darachanarvan, a little town on",381
England,GPE,and I doubt if you would find another woman in England to describe the domestic existence as you do.”,472
Paradise,LOC,"best, it comes only to open the gates of Paradise, for a moment, and to close them again",518
