Location,ent_type,context,p_no
London,GPE,I met Leversedge in London once in a way. Then he would disappear for,1
the Lake of Geneva,LOC,"I met Leversedge was at a large summer hotel on the Lake of Geneva. It is a very commendable dwelling-place,—according to",3
Artemis,GPE,"very honestest sort, wholly unsymbolic of the worship of Artemis or Astarte, without phases, standing ever at a",6
London,GPE,"the witness of these good parents, the life of London, intellectual and artistic, pulsed with profounder colour and",6
Carissima,LOC,"a degree, to the more experienced orbs of the Carissima also. For it counted a clever peeress who does",11
St. John,GPE,"an American. (She gets on equally well with St. John or without him, so there is no indiscretion in",11
Europe,LOC,make no difference. I hoped perhaps coming back to Europe and the old life—”,36
Congo,GPE,"half afterwards, I heard, exploring somewhere up the Congo. I've always been sorry he dropped out.",50
Charlotte,GPE,"say,” he cried suddenly, “here comes Charlotte—Miss Perry—and the others.”",52
Carissima,LOC,"mère were distinctly demoralised in aspect, and even the Carissima was not quite up to her usual level.",55
Charlotte,GPE,him a tête-à-tête with the fair Charlotte by concentrating the attention of her parents upon myself.,58
Charlotte,GPE,". Perry sighed.—“It seems to me clever people, like Charlotte's friends, are so strong,” she said",68
away!—eh,GPE,", to horse, boot and saddle, up and away!—eh, Mamma?—up and away!”",97
Charlotte,GPE,"“Mayn't I come up with you, Charlotte?” he asked. “I've hardly seen",99
England,GPE,"are all talking about. I have stayed out of England too long, and your ideas at home have run",112
Charlotte,GPE,"the tall, cream-coloured one of the fair Charlotte speeding away, through sunshine and shadow, in the",133
Providence,GPE,"Verily, the ways of Providence are not equal! I had returned from Evian in",134
Hammond,GPE,"cold and damp, and—and it smelt, Hammond, and that was unspeakably filthy. You know how",157
Providence,GPE,"for it appeared to me that, in him, Providence granted me acquaintance with a lover of a rather heroic",172
Charlotte,GPE,"have been expecting you,” he cried. “Charlotte has been visibly disturbed by your absence.”",186
London,GPE,"like yourself, I may call a débutant in the London world, to have the entrée of her charming house",188
Charlotte,GPE,"“Because”—Leversedge spoke very slowly—“I will explain why to Charlotte later, and she will understand,”—he paused,—“yes, she'll",198
Charlotte,GPE,"simple. As I say, I will explain to Charlotte; she'll understand.”—Leversedge repeated the phrase more",202
Charlotte,GPE,"“So our happiness is dependent upon Charlotte's friends taking us up and putting us through,",206
Charlotte,GPE,know more about it when I have explained things to Charlotte; and if I find a strict observance of social,206
the azure lake,LOC,"shore bathed in golden sunshine and the fair expanse of the azure lake behind her, the white swans floating motionless, the",208
Ark.,GPE,"stands, like the ladies and gentlemen of Noah's Ark. To see them unglued—as in foreign travel—",227
bright.—“I,GPE,"for a moment, and her dewy eyes were very bright.—“I wonder,” she said softly, “are you",237
St. Gingolph,GPE,of twinkling lights marked the site of the villages of St. Gingolph and Meillerie. The scene was a wholly appropriate setting,278
Italy,GPE,"from what I read, they knew this love in Italy during the Renaissance—some, a few, a",287
Carissima,LOC,feelings. I began to ask myself self whether the Carissima was—just possibly—among the greatest actresses of,306
