Location,ent_type,context,p_no
Paris,GPE,", the direttissimo, or most direct, was approaching Paris one morning in March, when it became known to",0
Paris,GPE,"train was travelling the last stage, between Laroche and Paris, a run of a hundred miles without a stop",1
Paris,GPE,", but several were on the move as it neared Paris, taking their turn at the lavatory, calling for",1
France,GPE,"to be trifled with anywhere, least of all in France, where the uncomfortable superstition prevails that every one who",18
Paris,GPE,"only hope to goodness they'll run straight on to Paris,"" he added in a fervent tone, not",24
Paris,GPE,You will have to arrange it with the authorities in Paris; they can alone decide. My duty is plain,38
Paris,GPE,"an hour more, and the Lyons station, at Paris, was reached, where the bulk of the passengers",40
Prefecture,GPE,"Arcs, and had not far to go to the Prefecture. But even now, soon after daylight, he",45
Paris,GPE,"for duty, was driven with all possible speed across Paris.",48
Amsterdam,GPE,", thirty-two years of age, born at Amsterdam, looked such a sluggish, slouching, blear-",62
Paris,GPE,"""What were you doing between Laroche and Paris? Sleeping?""",66
Rome,GPE,"A lady. Our only lady. She came from Rome.""",94
Rome,GPE,"No, monsieur; all the passengers travelled through from Rome.""",96
Rome,GPE,"cannot say, but he came on board at Rome.""",98
Norfolk,GPE,"rector of Theakstone-Lammas, in the county of Norfolk. Their berths were numbered 1 and 4 in a.",128
India,GPE,"know Lord Dufferin personally; I was with him in India. Also Colonel Papillon, the military attaché; we",133
Inverness,GPE,"moustache. He wore a long dark cloak of the Inverness order, and, with the slouch hat he carried",139
Castagneto,GPE,"She was the Contessa di Castagneto, she said, an Englishwoman by birth; but",149
Rome,GPE,", as the name implied, and they resided in Rome. He was dead—she had been a widow",149
London,GPE,"three years, and was on her way now to London.",149
London,GPE,to continue my journey. Friends are awaiting me in London. I do hope—I most earnestly beg and,153
Paris,GPE,"and said I should not need her till we reached Paris. But I want her now, indeed I do",163
morocco,GPE,"the berth,—hat-box, rugs, umbrella, brown morocco hand-bag. All were the property of some",178
Paris,GPE,"with the name, ""Francis Quadling, passenger to Paris,"" in full. Its owner had apparently no",178
Castagneto,GPE,high-bred lady who called herself the Contessa di Castagneto.,196
S.L.L.C.,GPE,"letters were much interlaced and involved, were decipherable as S.L.L.C.",204
