Location,ent_type,context,p_no
St. Michael's Mount,GPE,"all banked and sunny white against the blue, rises St. Michael's Mount, with a man's little castle capping Nature's",0
Newlyn,GPE,'s gaunt escarpments and rugged walls. Between Marazion and Newlyn stretches Mount's Bay; while a mile or two,0
Mount,LOC,escarpments and rugged walls. Between Marazion and Newlyn stretches Mount's Bay; while a mile or two of flat,0
Bay,LOC,rugged walls. Between Marazion and Newlyn stretches Mount's Bay; while a mile or two of flat sea-,0
Penzance,GPE,"steam clouds, from a train, bring us to Penzance. Then—noting centers of industry where freezing works",0
Penlee Point,LOC,"upon the winding road which leads therefrom, first to Penlee Point and the blue-stone quarry, anon to the",0
Newlyn,GPE,"They were artists, but while Edmund Murdoch dwelt at Newlyn and lived by his profession, the older man,",5
the West Indies,GPE,mouth set the seal. Once he had painted in the West Indies: a picture of two negresses bathing at Tobago.,5
Tobago,GPE,"West Indies: a picture of two negresses bathing at Tobago. Behind them hung low tangles of cactus, melo",5
Newlyn,GPE,"derive any pleasure from the society of his craft at Newlyn. He hated the clatter of art jargon, he",6
Cornwall,GPE,"he continued, ""that you've found nothing in Cornwall to keep you here and make you do some work",20
Newlyn hill,GPE,"Edmund Murdoch's studio stood high on Newlyn hill, and Barron had taken comfortable rooms in a little",42
Newlyn,GPE,", in fact, was already nearly a mile from Newlyn, and, at the moment when the younger artist",43
He'm,GPE,"""Faither don't. He'm a fisherman an' caan't abear many things as happens",99
Newlyn,GPE,"as they flags an' cannels an' moosic to Newlyn church is vanity. Most purty things is vanity,",99
tuke,GPE,"don't want no breakfus', then. I tuke some bread an' drippin' long with me.",115
time'll,GPE,"Well, the harder you works, the quicker the time'll pass by. Theer's nuthin' to grizzle at.",120
Newlyn,GPE,"husband enjoyed prosperity and a reputation for godliness unequaled in Newlyn. A great, weather-worn, gray,",122
West,LOC,"themselves to ancient Brittany when the Saxon invasion swept the West, and many afterward returned, with foreign wives,",122
Israel,GPE,"and powers. They were saturated with the spirit of Israel in the Wilderness, of Esau, when every man",123
Wilderness,LOC,"They were saturated with the spirit of Israel in the Wilderness, of Esau, when every man's hand was",123
St. Peter,GPE,"war among themselves—its most vile ritualistic church of St. Peter, its public-houses, scandals, and strifes",123
Cornwall,GPE,"the face of the majestic work of John Wesley in Cornwall, to see the shattered ruins of it which remain",124
Cornwall,GPE,"off the dust of a dead Anglicanism which covered religious Cornwall like a pall in the days of the Georges,",124
Cornwall,GPE,extant records of the ancient use of the Church in Cornwall prove. Its principle was that he who filled a,124
