Location,ent_type,context,p_no
Lank,GPE,"Lank and long is Birdalone the sweet, with legs that",45
waveth,GPE,; and ah! now thou lettest it loose it waveth softly past thy fair smooth forehead and on to thy,60
hideth,GPE,", and is not stayed by thy girdlestead, but hideth nought of thy knees, and thy legs shapely thin",60
Habundia,GPE,"seen thee at all. Yea, forsooth, said Habundia, for I myself were most fain to see thee",64
Habundia,GPE,"friend looked on her kindly. She said presently: Habundia, thou seest I am hard bestead; give me",65
Habundia,GPE,"It went with Birdalone as Habundia had foretold, for she came home to the house",69
oakland,GPE,"wood thereby, and win her way up into the oakland whereas she had met Habundia, and perchance she might",89
Habundia,GPE,"her way up into the oakland whereas she had met Habundia, and perchance she might happen on her; for",89
Habundia,GPE,"the tidings. And ever she called to mind what Habundia had said to her, that it was by water",93
the brook,LOC,"but if thou stray more than half a bowshot from the brook, it shall be the worse for thee. And",110
Habundia,GPE,"into the wood, and forgat not the tress of Habundia’s hair; but she had no need to use",113
Habundia,GPE,"was come to the Oak of Tryst, straightway came Habundia forth from the thicket, and now so like to",113
Habundia,GPE,"it on her finger, and spake aloud even as Habundia had given her the words. Then quoth Habundia,",120
Habundia,GPE,was very thick and soft. Withal the tress of Habundia’s hair she bore ever mingled with her own.,124
Habundia,GPE,"And again by her own leave she went to seek Habundia in the wood, and spent a happy hour with",133
the Sending Boat,LOC,went even as Birdalone had gone when she came across the Sending Boat.,137
Learneth,GPE,Chapter XVI ~ Birdalone Meeteth Habundia Again; and Learneth Her First Wisdom of Her,144
Habundia,GPE,"and longed sore to go into the wood to seek Habundia again, but durst not, lest the witch-",145
Habundia,GPE,"it me? Yea, surely, child, said Habundia. Said Birdalone: This it is then, that",147
Habundia,GPE,"departure. Yea, but, sweet child, said Habundia, beware of the witch and her cruelty; I",149
the Sending Boat,LOC,", the witch went a-night-tide to the Sending Boat, and Birdalone followed her as erst. This time",152
Habundia,GPE,"they were not to be seen. When she asked Habundia thereof, she laughed and said: Once more thou",153
Habundia,GPE,"to be done with it. Fair child, said Habundia, little is the shame though this woman hath had",160
the Sending Boat,LOC,"a long while, then will I not fare to the Sending Boat by night and cloud and with hidden head, but",160
the Sending Boat,LOC,", and that tomorrow thou wilt try the adventure of the Sending Boat: is it not so? Yea, mother,",168
the Sending Boat,LOC,swiftest along the water-side toward the creek and the Sending Boat. As is aforesaid she was as fleet-foot,180
Habundia,GPE,hers; and therewith she looked on that tress of Habundia’s hair and kissed it.,189
availeth,GPE,that thou wilt slay me therefor; and that it availeth not to crave mercy of thee.,213
Isles,LOC,"thou must know that this land is one of the Isles of the Lake, and is called the Isle of",234
Lake,LOC,"that this land is one of the Isles of the Lake, and is called the Isle of Increase Unsought.",234
the Sending Boat,LOC,"Said Atra: For this reason; thy ferry, the Sending Boat, wherein ye came hither, is even somewhat akin",245
the Sending Boat,LOC,"that the witch deemed that she would not dare use the Sending Boat, nor know how to, even if she came",246
Habundia,GPE,"than she had afore, save again what pertained to Habundia; withal she told every word of what her mistress",246
wan,GPE,"Our unhappy hearts were now so sunken in wan-hope, that we had no word wherewith to",268
the Sending Boat,LOC,"Therewith she gat into her own craft, the Sending Boat, and therein did the deed and spake the words",271
the Sending Boat,LOC,"many times thereafter, till we won the secret of the Sending Boat, and her spell therewith; but we knew not",276
the Sending Boat,LOC,", that never thereafter durst we try the adventure of the Sending Boat, but have lived on in lazy sorrow and shameful",276
the grey dawn,LOC,if thou might’st sleep till we come for thee in the grey dawn.,281
the Sending Boat,LOC,"to the water’s edge, some twenty yards from the Sending Boat. There they stood together, and Atra said:",285
Earth,LOC,"it were to hide her feet from the eyes of Earth, yet felt she the stouter-hearted thereby,",293
the Sending Boat,LOC,"take of thee the raiment, the gems, and the Sending Boat, and come hither if they may. And God",295
the Sending Boat,LOC,"up her basket, and turned and went speedily to the Sending Boat; and they beheld her how she stepped aboard and",298
the Sending Boat,LOC,"her feet turned her about to the shore where lay the Sending Boat, and she went speedily but quietly thitherward, her",329
the Sending Boat,LOC,"afternoon. Then lightly she stepped aboard, and awoke the Sending Boat with blood-offering, and it obeyed her,",330
Queens,GPE,Chapter X ~ Birdalone Comes to the Isle of the Queens,331
the Sending Boat,LOC,", or belike her errand would not speed; that the Sending Boat might not obey her, unless she saw through the",336
the Sending Boat,LOC,"and she rose up hastily, and went down to the Sending Boat, for she would not for aught abide the night",346
the northern ort,LOC,"and seemed to see the far-off woodland in the northern ort, and the oak-clad ridge, where she",358
Habundia,GPE,wood-mother; and then it was as if Habundia were saying to her: Meet again we shall.,358
Deepened,GPE,"Deepened then the dusk, and became night, and she",359
Habundia,GPE,"head, and drew forth the tress of hair which Habundia had given her, and which was coiled up in",369
Habundia,GPE,"and cloudless; there was no shadow or shape of Habundia there, nought but the blue lake and the ugly",373
the blue lake,LOC,"no shadow or shape of Habundia there, nought but the blue lake and the ugly lip of that hideous desert, with",373
the Sending Boat,LOC,"and the ugly lip of that hideous desert, with the Sending Boat lying a half score yards from her feet; and",373
bann,GPE,"to abide in this castle till our lords take the bann off, and bid us open to women. She",380
victual,GPE,"horn, drawing it from out of the basket of victual, which he now set down on the ground;",398
unwashen,GPE,"my hunger last night, and I went to bed unwashen; and this morn I am weary for the foulness",405
unwashen,GPE,this morn I am weary for the foulness of my unwashen body. Unseemly it were to me to show myself,405
Gentiles,GPE,"fear it, and deem her some goddess of the Gentiles of old time come before him for his ensnaring.",411
Isle,LOC,"as kind to her as her three friends of the Isle, had she happened on them in like case as",423
the Sending Boat,LOC,"mine own self? And therewith she told them of the Sending Boat, what it was, and how she had come",458
Greenford,GPE,"cheaping-town, a goodly and great town hight Greenford, which was some twenty miles thence, with the",467
