Location,ent_type,context,p_no
bireme,GPE,"she was being rowed into port. She was a bireme, that is to say, had two tiers of",1
bireme,GPE,The bireme was approaching the entrance to the harbor of Cenchræa.,2
East,LOC,"a tidal sluice rushed the current of trade from the East to the West, and from the Occident to the",5
West,LOC,"rushed the current of trade from the East to the West, and from the Occident to the Orient. It",5
Occident,LOC,"from the East to the West, and from the Occident to the Orient. It was planted on a bay",5
Orient,LOC,"to the West, and from the Occident to the Orient. It was planted on a bay of the Saronic",5
the Saronic Gulf,LOC,"the Orient. It was planted on a bay of the Saronic Gulf, and on the Isthmus of Corinth, at the",5
the Isthmus of Corinth,LOC,"on a bay of the Saronic Gulf, and on the Isthmus of Corinth, at the foot of that lovely range of mountains",5
Peloponnesus,GPE,up by the hand of God to wall off the Peloponnesus as the shrine of intellectual culture and the sanctuary of,5
Liberty,GPE,as the shrine of intellectual culture and the sanctuary of Liberty.,5
Hellas,GPE,"like an artificial dyke—ran between this range and Hellas proper, a furrow nearly wholly invaded by the sea",6
Poseidon,GPE,"of a flight of marble steps before a temple of Poseidon, in her open litter, lounged a lady,",7
Longa Duilia,GPE,"The lady, whose name was Longa Duilia, was attended by female slaves, who stood behind",10
bireme,GPE,"be here,” said the lady; “the bireme is in the port. I can see the ruffle",11
Duilia,GPE,"“Abominable!” exclaimed Duilia, “when the ripple in my hair is natural",13
Duilia,GPE,"eyebrow a trifle higher than the other?” asked Duilia, looking at herself in a hand mirror of polished",19
Duilia,GPE,"“Ah,” said Duilia, “it is hereditary. The Julian race descends",21
Syria,GPE,"Parthians, and chained the Armenians, to whom all Syria bowed, arrives to cast himself at your ladyship’s",24
Corinth,GPE,“How would my Lady like to remove to Corinth?” said Lucilla. “The vessel will be,29
Venus,LOC,said the steward. “The Foam-born (Venus) rose out of and left the waves because the,31
Adria,LOC,have you secured another? I positively cannot across Adria without one to hold my head and supply anti—,32
Rome,GPE,"physician of Troas; he is desirous of proceeding to Rome, and is willing to undertake the charge of your",35
Syra,GPE,"come back rank with pitch. Lucilla, Favonia, Syra, where is she?”",41
Duilia,GPE,"Duilia sat upright on her seat, and her eyes roamed",42
Longa Duilia,GPE,Longa Duilia overheard this. It was not the etiquette for an,58
sharply:—“Why,GPE,She said sharply:—“Why did not the fellow mention this before? Give him,59
Duilia,GPE,"“As the Gods love me,” gasped Duilia, throwing herself back in the litter; “what",67
Antioch,GPE,"father, whom she has not seen since we left Antioch. And she has actually gone to meet him.",67
Venus Kalypyge,LOC,"And she has actually gone to meet him. O Venus Kalypyge! What are we coming to, when children act",67
Artemis,GPE,"vessel, the captain and steerer took a statuette of Artemis, in bronze, the Ephesian goddess, with female",100
Corinth,GPE,"“The Goddess Aphrodite of Corinth salutes her divine sister, the Many-Breasted Artemis",104
Corinth,GPE,shall in any way injure or disturb the inhabitants of Corinth or of the Isthmus.”,106
Isthmus,LOC,injure or disturb the inhabitants of Corinth or of the Isthmus.”,106
Longa Duilia,GPE,"a few days at the port of Cenchræa. After Longa Duilia was ready, then she and her husband and family",109
the Corinthian Gulf,LOC,"family were to proceed to Lechæum, the port on the Corinthian Gulf, there to embark for Italy. The vessel would",109
Italy,GPE,"port on the Corinthian Gulf, there to embark for Italy. The vessel would leave the harbor and go to",109
Isthmus,LOC,"harbor and go to Diolchus, that point of the Isthmus on the east where the neck of land was narrowest",109
the Gulf of Corinth,LOC,"convey the vessel over the land for six miles to the Gulf of Corinth, where again she would be floated.",109
Greece,GPE,was an Italian philosopher who had received his training in Greece at a period when all systems of philosophy were broken,115
Claudius Senecio,LOC,able to see what is hidden from the shallowness of Claudius Senecio alias Spermologos over the surface of which shallowness his soul,119
Earth,LOC,"“Hear, then. Because a daughter of Earth dared to set foot on the vessel consecrated to and",123
East,LOC,"was successful. Under Nero he was engaged in the East against the Parthians, the most redoubted enemies of the",132
Rome,GPE,"and sent their king, Tiridates, a suppliant to Rome.",132
Antioch,GPE,"His headquarters had been at Antioch, and there for a while his wife and daughter",133
Rome,GPE,"It was customary for those who did not live in Rome but belonged to a province, to place themselves under",135
Rome,GPE,"to his client’s interests, and should he visit Rome received him into his house as an honored guest.",135
Cilicia,GPE,"was gambolling with a long silky-haired kid from Cilicia, that her father had brought as a present to",138
Antioch,GPE,"It was for this that I sent you back from Antioch. You ever twanged one string, and I felt",142
Rome,GPE,"pride rankles. He has insulted the majesty of eternal Rome. After having acted the buffoon in Italy, running",149
Italy,GPE,"of eternal Rome. After having acted the buffoon in Italy, running up and down it like a jester on",149
Greece,GPE,"do not applaud—then he comes here also into Greece, to act on stages, race chariots, before",149
Rome,GPE,"“Never will I be a traitor to Rome, and go against my oath.”",152
Germany,GPE,bean. You were the darling of the soldiery in Germany. You are still the idol of those who have,155
Parthia,GPE,the idol of those who have fought under you in Parthia and Armenia. I am sure I did my best,155
Armenia,GPE,of those who have fought under you in Parthia and Armenia. I am sure I did my best to push,155
Greece,GPE,"“Yes, here, in Greece; here at our elbow, at Corinth. He",159
Corinth,GPE,", in Greece; here at our elbow, at Corinth. He has for once got a clever idea into",159
Corinth,GPE,"“Yes, at Corinth; and you are here with all the wide sea",161
Antioch,GPE,"no doing of mine. I warned and exhorted at Antioch, but you might have been born deaf for all",161
Rome,GPE,“Never would I raise my sacrilegious hand against Rome—my mother.”,162
Rome,GPE,“Nay—it is Rome that cries out to be rid of a man that,163
Rome,GPE,god Caius (Caligula) named his horse Consul. Rome may have a monkey as her prince and Augustus for,165
Duilia,GPE,"“Of what?” sneered Duilia, “say it out—of nobody knows what",172
Duilia,GPE,"“Where?” asked Duilia. “As the Gods love me, I never",175
Duilia,GPE,“By the Gods!” said Duilia. “You must first find your stars. I,177
Antioch,GPE,. He has been in and out among us at Antioch. He returns with me to Rome. In these,182
Rome,GPE,"among us at Antioch. He returns with me to Rome. In these evil times, for a girl there",182
Longa Duilia,GPE,"He glanced about him in quest of Longa Duilia, but that lady had retired precipitately to the gynaikonitis",194
Syria,GPE,"acquaintances, and had seen much of each other in Syria.",196
East,LOC,"Corbulo had not been proconsul, but legate in the East, and had made Antioch his headquarters. He had",197
Antioch,GPE,", but legate in the East, and had made Antioch his headquarters. He had been engaged against the Parthians",197
Antioch,GPE,"intermittent, and between the campaigns he had returned to Antioch, to the society of his wife and little daughter",197
England,GPE,", just as the ambition of certain honorable families in England led to the falsification of the Roll of Battle Abbey",200
Rome,GPE,"“What! are we not to return to Rome? O Lamia, I was a child when I",209
Gabii,GPE,"I left it, but I love our house at Gabii, and the lake there, and the garden.",209
Earth,LOC,", Lamia? Thou art descended by adoption from the Earth-shakes, and tremblest as a girl! See",213
Longa Duilia,GPE,"of the house, as also some of those of Longa Duilia, raising their arms and lowering them, uttering their",228
Duilia,GPE,"The Emperor Nero was, as Duilia had told her husband, at this very time in",241
Greece,GPE,"had told her husband, at this very time in Greece, and further, hard by at Corinth, where",241
Corinth,GPE,"time in Greece, and further, hard by at Corinth, where he was engaged in superintending the cutting of",241
Saronic,LOC,was to remove the difficulty of a passage from the Saronic to the Corinthian Gulf.,241
the Corinthian Gulf,LOC,remove the difficulty of a passage from the Saronic to the Corinthian Gulf.,241
Greece,GPE,Nero had come to Greece attended by his Augustal band of five thousand youths with,242
Greece,GPE,he resolved to contest for prizes in the games of Greece.,244
Rome,GPE,"him, as his court, the wealthiest nobles of Rome, whom he had marked out for death, either",247
Rome,GPE,"off, from temple as from marketplace, to decorate Rome or enrich his Golden House, the palace he had",248
Germany,GPE,"on Domitius Corbulo, who had won laurels first in Germany and afterwards in Syria.",249
Syria,GPE,who had won laurels first in Germany and afterwards in Syria.,249
Rome,GPE,"He had summoned him to Rome, with the promise of preferments, his purpose being",250
Corinth,GPE,"No sooner did the tidings reach the tyrant at Corinth, that the veteran hero was arrived at Cenchræa,",251
Duilia,GPE,condition to answer his call and be of use. Duilia had monopolized the attentions of almost all such as had,253
earth,LOC,"roses, and trample the noble and good into the earth. The Gods! see you now! They set",270
Rome,GPE,"But, Madam, they are in your palace at Rome in the Carinæ—or at the Gabian villa.",274
Carinæ,GPE,", they are in your palace at Rome in the Carinæ—or at the Gabian villa.”",274
Agrippina,LOC,"“Madam, consider how Agrippina did with Germanicus—she had his pyre at Antioch",278
Antioch,GPE,"Agrippina did with Germanicus—she had his pyre at Antioch, and conveyed his ashes to Rome.”",278
Rome,GPE,"his pyre at Antioch, and conveyed his ashes to Rome.”",278
Antioch,GPE,"able to have the funeral conducted with solemn pomp at Antioch. There were the soldiers, the lictors, great",279
Gabii,GPE,"the ashes should be placed in the family mausoleum at Gabii, and that the utmost dignity should be accorded to",288
Italy,GPE,“hardly applies to one who has died out of Italy.”,290
Duilia,GPE,"“It is against the law,” replied Duilia. “I will give no occasion to objection,",291
Corinth,GPE,“Of course—one can be obtained at Corinth. Everything can be had for money.”,295
Longa Duilia,GPE,"When the steward was gone, then Longa Duilia turned her head languidly and summoned a slave-girl",298
Gabii,GPE,"I must not have my hair combed till we reach Gabii. It is customary, and for a bracelet of",299
Agrippina,LOC,"“And I think I shall outdo Agrippina,” said Duilia, “she carried her husband",301
Duilia,GPE,"And I think I shall outdo Agrippina,” said Duilia, “she carried her husband’s cinders in an",301
Ostia,GPE,"the way to Rhegium, then up the coast to Ostia and so to Gabii. There will be talk!",301
Agrippina,LOC,"of which the world has never seen. As for Agrippina, in your superior blaze she will be eclipsed forever",302
Agrippina,LOC,"“I should prefer doing what Agrippina did—make a land journey from Brindisium, but",303
the Corinthian Gulf,LOC,"and conveyed across the isthmus, and was launched in the Corinthian Gulf.",307
Rome,GPE,"by Helios, a freedman whom he had left in Rome, to return to Italy, to prevent an insurrection",309
Italy,GPE,"whom he had left in Rome, to return to Italy, to prevent an insurrection that was simmering. Nero",309
Greece,GPE,"but he had laden his fleet with the plunder of Greece, he had strutted and twittered on every stage,",309
Italy,GPE,"every contest, and was desirous of being applauded in Italy and at Rome for what he had achieved, and",309
Rome,GPE,"and was desirous of being applauded in Italy and at Rome for what he had achieved, and exhibit there the",309
the Corinthian Gulf,LOC,done so before the Artemis with spread sail swept down the Corinthian Gulf.,310
the Middle Ages,LOC,"not then been invented, it was a discovery of the Middle Ages, and the head of the vessel was given its",314
the Corinthian Bay,LOC,"The passage down the Corinthian Bay was effected without difficulty, before a favorable wind,",317
Corinth,GPE,"reluctant to put back to Lechæum, the port of Corinth, on the Gulf, and the broken eye in",319
Gulf,LOC,"to Lechæum, the port of Corinth, on the Gulf, and the broken eye in which the paddle worked",319
Adria,LOC,my opinion is that we should make all speed across Adria. This is a bad season of the year.,321
Straits,LOC,"side, drave through the rippling water, passed the Straits into the Adriatic, with the mountains of Ætolia to",323
Adriatic,LOC,"through the rippling water, passed the Straits into the Adriatic, with the mountains of Ætolia to the north,",323
Ætolia,GPE,"the Straits into the Adriatic, with the mountains of Ætolia to the north, and the island of Cephalonia in",323
Cephalonia,GPE,"of Ætolia to the north, and the island of Cephalonia in the blue west before her; and as she",323
the blue west,LOC,"to the north, and the island of Cephalonia in the blue west before her; and as she flew, she left",323
Greece,GPE,yet the air was not cold. The mountains of Greece lay in the wake like a bank of purple cloud,324
Senecio,GPE,"“Have you not heard, Domitia, how Senecio has assured you that your father will live.”",346
Felicula,GPE,"head with questions. Pray answer her satisfactorily. Here Felicula, Procula, Lucilla, help me to the cabin",355
Procula,GPE,"questions. Pray answer her satisfactorily. Here Felicula, Procula, Lucilla, help me to the cabin.”",355
Germany,GPE,"all men’s mouths—on the snowy plains of Germany, on the arid wastes of Syria, the fame",363
Syria,GPE,"snowy plains of Germany, on the arid wastes of Syria, the fame of Cnæus Domitius Corbulo——”",363
East,LOC,which confounds the Stoic. You have learning in the East which we have not in the West. Tell me,378
West,LOC,learning in the East which we have not in the West. Tell me—what is the human soul?,378
East,LOC,at which the minds of the great thinkers of the East have arrived.”,386
Tigris,LOC,"we must live, like those who float across the Tigris and Euphrates—on rafts supported by inflated bladders.",393
Cephalonia,GPE,"and the Echinades, and then betwixt the isles of Cephalonia and Zacynthus, an experienced navigator was necessary, and",414
Britain,GPE,", who has been accustomed to the stormy seas of Britain, and whose nerves are of iron.”",417
trireme,GPE,"captain or trierarch, so called whether he commanded a trireme or a Liburnian of two benches.",419
Rome,GPE,"and mimes had not come on him before I left Rome for Syria. To think of it, that he",436
Syria,GPE,"had not come on him before I left Rome for Syria. To think of it, that he—the",436
bireme,GPE,"If the approach of the bireme was observed, which did not seem to be the",484
bireme,GPE,"ships had been dispersed by the storm; and the bireme, if perceived, was doubtless held to be one",484
Greece,GPE,"having come to the glorious pageantry of the sports in Greece, entered the lists to win the Delphic prizes,",486
bireme,GPE,"handle of one paddle, so as to turn the bireme about, and ram her midships into the Imperial trireme",495
trireme,GPE,"Artemis was altered and in place of running into the trireme, she swerved and swung past the Imperial galley without",496
Trireme,GPE,"and sent a shiver through the whole company of the Trireme, and the August too, I trow,—for they have",509
