Location,ent_type,context,p_no
London,GPE,and Lord Valmond asked did any one know if the London evening papers had come. But I was not going,33
Disgrace,GPE,Lord Valmond in Disgrace,45
London,GPE,London out of Season,50
Scotland,GPE,"being shut up next week, when they go to Scotland. After lunch the girls did nothing but question me",53
France,GPE,when I told them I was going to stay in France with the de Croixmares. One of the Ethridge aunts,57
Town,GPE,"not a thing to do, every one having left Town, so in the evening Uncle Geoffrey took us to",58
Heaviland Manor,GPE,"see you again until next Saturday, when I leave Heaviland Manor. It is a long time.—With love from your affectionate",59
Heaviland Manor,GPE,"Heaviland Manor,",60
France,GPE,", she said, and my going to visit in France; and so I had to bellow descriptions of your",67
Hendon,GPE,"I wonder? Because old John, the keeper at Hendon, told me once that the best fox-terriers",68
china,GPE,"a table with a Bible, and a funny old china medicine spoon, and glass and water-jug on",71
Heaviland Manor,GPE,"Heaviland Manor,",75
Paris,GPE,"ears, and said he would be running over to Paris about then, as he was not going to Scotland",113
Scotland,GPE,"Paris about then, as he was not going to Scotland till September, and he hoped I would let him",113
Virginia,GPE,Paul and Virginia,114
Belvedere,GPE,other Lord Valmond and I got left alone in the Belvedere looking at the view. The others went off without,115
Virginia,GPE,"very happy together on this little island like Paul and Virginia. I can't tell you, Mamma, what",115
Dieppe,GPE,". Agnès became rapidly French too directly we landed at Dieppe, and the carriage was full of stuffy people,",124
Paris,GPE,"open; however, Jean was waiting for us at Paris. We snatched some food at the restaurant, and",124
Vinant,GPE,"at the restaurant, and then caught the train to Vinant. Jean is quite good-looking, but with",124
England,GPE,"evening dress, or even tea-gowns like in England—it did seem strange.",125
Ollendorfish,GPE,"had bowed a good deal, and said heaps of Ollendorfish kind of sentences, I was given some ""sirop",126
France,GPE,Agnès—such a conscious pride in the superiority of France—nearly drove me mad.,126
England,GPE,things that we would have for such a house in England. It is more like a sort of big villa,129
France,GPE,perhaps it is only the husbands who get it in France.,131
Seine,GPE,we are going with them on their yacht down the Seine to-morrow. It is Jean and Héloise who,134
Seine,GPE,"Dearest Mamma,—I am writing as we float down the Seine, it is too enchanting. We are a party",138
Versailles,GPE,"young men, officers in the Cavalry, stationed at Versailles. One is the Vicomte Gaston de la Trémors,",138
Empire,GPE,"looks and distinction. She was a beauty under the Empire, and her feet are so small, she is",138
Paris,GPE,"young people have their appartement in the Champs Elysées in Paris, and the old ones go to the family hotel",140
England,GPE,have a distinction and a wit quite unlike anything in England. One can see he is descended from people who,140
England,GPE,"familiar than we should ever let a servant be in England. It was rough all the morning, quite waves",143
Seine,GPE,"was rough all the morning, quite waves. The Seine is only half a mile from the Château de Croixmare",143
Seine,GPE,"so between the courses we washed our plates in the Seine, out of the window. It was gay!",145
Vernon,GPE,"Vernon, Yacht Sauterelle,",148
Vernon,GPE,"would talk to me. You would be amused at Vernon, where we stayed the night in such an inn",151
France,GPE,"weather—and I wanted to hear something different in France. He seemed perfectly shocked, and hardly spoke to",156
Empire,GPE,"a little better, but then her family is only Empire, and Jean and Héloise are fairly decent.",156
Cannes,GPE,", not a bit like the people we see at Cannes, who have been much with the English. It",157
France,GPE,as usual. Perhaps she realised this part of her France was not so good as England.,157
England,GPE,this part of her France was not so good as England.,157
Vernon,GPE,"husbands and wives camped together. Even a place like Vernon, he said, was sufficiently enlightened to find the",164
Versailles,GPE,"us for the day, to do their duty at Versailles, but are to meet us again at Rouen in",166
Rouen,GPE,"at Versailles, but are to meet us again at Rouen in the evening, with leave for a few days",166
Paris,GPE,"and Victorine. It appears too, that when in Paris, Godmamma always drives in the Bois at the wrong",168
Rouen,GPE,A Visit to Rouen,173
Rouen,GPE,"not a cloud in the sky. We landed at Rouen the day before yesterday about six, and the hotel",174
England,GPE,"like, and I am sure if the people in England who drink nasty old ports and things could have it",174
Rouen,GPE,who is very amusing. But to go back to Rouen. It was a treat to sleep fearlessly in a,174
Vernon,GPE,"Sauterelle, but it was so fine after we left Vernon, and yesterday, that we could have it each",176
Rouen,GPE,"so picturesque, and such woods! after you leave Rouen. Héloise did not sleep yesterday. ""Antoine""",176
Rouen,GPE,"a whole family of elderly girls at our hotel at Rouen, and they all had moustaches or moles on the",176
Seine,GPE,"after four. Our inn looks right on to the Seine, and is as old nearly as the one at",177
Vernon,GPE,", and is as old nearly as the one at Vernon, but fortunately beautifully clean. Only you have to",177
Misadventure,GPE,A Misadventure,178
France,GPE,the breakfast that they have to be so particular in France how they look in bed.,179
Havre,GPE,"Hotel Frascati, Havre,",189
Havre,GPE,Havre to Trouville,191
Trouville,GPE,Havre to Trouville,191
Trouville,GPE,"voyage is nearly finished, for we go over to Trouville this evening, and from there by train back to",192
Vinant,GPE,"this evening, and from there by train back to Vinant. The river is not nearly so pretty after you",192
Tancarville,GPE,"not nearly so pretty after you leave Caudebec, but Tancarville is fine, and looks very imposing sitting up so",192
Havre,GPE,"and sun-burnt by the time we got to Havre, and Héloise and the Marquise and I started at",192
England,GPE,talking to one's neighbour when I get back to England. The restaurant at Frascati isn't at all bad,194
ce qu'elles,GPE,"où diable est-ce que ces dames mettent tout ce qu'elles mangent? Elles goblottent toute la journée!""",195
England,GPE,"to talk of the teeny weeny things we do in England. They have most exquisite manners, and extraordinarily unpleasant",197
