Location,ent_type,context,p_no
the western Midlands,LOC,great coal district from the green and pleasant scenery of the western Midlands. Along the summit of this ridge runs the High,0
the Clee Hills,LOC,"streams and meadows, bounded in the far distance by the Clee Hills and the Wrekin, and in the farthest distance of",0
Wrekin,GPE,"in the far distance by the Clee Hills and the Wrekin, and in the farthest distance of all by the",0
England,GPE,the highest point of the highest table-land in England.,3
Australia,GPE,"George offended his father past forgiveness by running away to Australia rather than marry Maria, and there disappeared. Years",4
Grove,GPE,"wood was set apart by Elisabeth as ""Athene's Grove,"" and that the contents of the waste-",14
Epworth,GPE,of John Wesley's escape from the burning rectory at Epworth. In those days Elisabeth was so small and the,19
Methodism,GPE,"a type and an explanation of the power of early Methodism, the strength whereof lay in its marvellous capacity of",22
London,GPE,", Emily left home, and took a situation in London as governess, in the house of some wealthy people",31
London,GPE,found his once beautiful sister in great poverty in a London lodging-house. She told him that she had,31
the green valley,LOC,"a moment; and Christopher whistled as he looked across the green valley to the sunset, without in the least knowing how",55
the Black Country,LOC,"eyes grew dreamy. ""They make me think that the Black Country is a wilderness that we are all travelling through;",86
England,GPE,"as can rarely be surpassed for beauty and extent in England. But Mrs. Bateson called her front view ""lively",157
Providence,GPE,"that to do so was what she called ""tempting Providence."" Her theory appeared to be that as long",162
Providence,GPE,""" Her theory appeared to be that as long as Providence saw you were miserable, that Power was comfortable about",162
Providence,GPE,comfortable about you and let you alone; but if Providence discovered you could bear more sorrow than you were then,162
Providence,GPE,". Naturally, therefore, her object was to convince Providence that her cup of misery was full. But Mrs.",162
Providence,GPE,"the sparks fly upward; and it is a funny Providence, to my mind, as ordains for women to",211
naughts,GPE,", to my mind. Life is made up of naughts and crosses; and the folks that get the crosses",212
naughts,GPE,"the crosses are better off than those that get the naughts, though that husbands are crosses I can't pretend",212
London,GPE,"-known girls' school not a hundred miles from London—so called in memory of Dr. Arnold, according",282
Alps,LOC,"-water, or in what year Hannibal crossed the Alps? But it will matter to her infinitely, for",286
Germany,GPE,"had been at school, Christopher had been first in Germany and then in America, learning how to make iron",320
America,GPE,", Christopher had been first in Germany and then in America, learning how to make iron, so that they",320
Providence,GPE,"portion, you are tempted to doubt the workings of Providence.""",349
Studley,GPE,of the great high road which leads from Silverhampton to Studley and Slipton and the other towns of the Black Country,371
Slipton,GPE,great high road which leads from Silverhampton to Studley and Slipton and the other towns of the Black Country; but,371
the Black Country,LOC,Silverhampton to Studley and Slipton and the other towns of the Black Country; but it calls itself Sedgehill High Street as it,371
Badgering Woods,LOC,"irresolute lane is less adventurous, and wanders peacefully through Badgering Woods, a dark and delightful spot, once mysterious enough",372
England,GPE,"moat, encircling one of the most ancient houses in England. The Moat House had been vacant for some time",373
London,GPE,"in the middle of the country, which looks like London and its environs?""",417
Kentucky,GPE,"their hearts they don't have any, like the Kentucky fish that can't see in the dark because they",456
Batesons,GPE,"and I wrote the hymns for it myself. The Batesons wept over them and considered them inspired, and foretold",464
Midlands,LOC,"and mysterious ways, to the great highway from the Midlands to the coast of the western sea. On they",581
the western sea,LOC,"the great highway from the Midlands to the coast of the western sea. On they went, past the little hamlet where",581
Salopshire,LOC,"illiterate milestone, which marks the boundary between Mershire and Salopshire; and then through a typical English village, noteworthy",581
Mayday,GPE,"a typical English village, noteworthy because the rites of Mayday, with May-queen and May-pole to",581
Kezia,GPE,"""Well, then, Kezia, you should be all the more ready to take",601
Providence,GPE,"mean that Caleb not only loyally supports the government of Providence, but is prepared to take office under it,",612
Jericho,GPE,"to do with her, and she can go to Jericho for all they cares.""",619
consolin,GPE,". ""Law! Mr. Bateson, that's a consolin' way of looking at things, and I only",629
Thy Kingdom,GPE,"Thy Hands; but he is not very far from Thy Kingdom. Lead him, Heavenly Father, in the way",656
Badgering Woods,GPE,walking together—as they walked not unfrequently—in Badgering Woods.,659
Thames,GPE,"culture or no culture—I mean to set the Thames on fire some day.""",671
Thames,GPE,such an inferior being as a woman to set the Thames on fire at all. Then—when I've,675
London,GPE,all. Then—when I've done it and London is illuminated—you will write to the papers to,675
Goring,GPE,"will have notices put up all along the banks from Goring to Greenwich, 'Ladies are requested not to bring",675
Greenwich,GPE,"notices put up all along the banks from Goring to Greenwich, 'Ladies are requested not to bring inflammatory articles",675
Thames,GPE,articles near the river; the right of setting the Thames on fire is now—as formerly—reserved specially,675
Thames,GPE,"But now tell me; when you have set your Thames on fire, and covered yourself with laurels, and",676
England,GPE,"righteousness. We are sorely in need, here in England to-day, of the Greek spirit of Pantheism",683
England,GPE,"""Puritanism has much to answer for in England,"" said Elisabeth; ""we have to thank",685
England,GPE,turned the England of Queen Elizabeth—the most glorious England the world has ever known—into one enormous Nonconformist,687
England,GPE,"ever known—into one enormous Nonconformist Conscience; and England has never been perfectly normal since. Besides, they",687
the Black Country,LOC,happier to the people who dwelt in the darkness of the Black Country.,694
Yorkshire,GPE,"stay with Felicia Herbert, near a manufacturing town in Yorkshire. Felicia had been once or twice to the Willows",695
the North Pole,LOC,"and however nice I try to be to him, the North Pole is warm and neighbourly compared with him. I'm",707
Providence,GPE,"have hearts at leisure from themselves always want to understudy Providence, you will notice.""",759
Providence,GPE,"own, are too fond of playing the part of Providence to other people. That their motives are excellent I",761
Providence,GPE,"not mind their own business it doesn't follow that Providence can't either, don't you see?""",761
