Location,ent_type,context,p_no
Rome,GPE,"since she was in her teens in a convent at Rome, and he was father confessor, I suppose--",22
"Begum,--as",GPE,"Palace. Pidar Narâyan plays the fiddle, and the Begum,--as you call her,--Miss Laila Bonaventura, has a voice.",30
Agra,GPE,"; for the pathways were of white marble and red Agra stone, the courtyard of purple-blue brick.",54
waistcloth,GPE,"preparing his daily food. Naked, save for his waistcloth, and the thread of the twice-born over",66
India,GPE,sight to be seen a hundred times a day in India; one which should never be forgotten.,67
Saturn,LOC,"cloth, twisted and twined about head and waist like Saturn's rings. The oldest of old pantaloons, with",75
Paradise,LOC,It isn't altogether despicable to let yourself loose in Paradise without an arrière pensée of flaming swords. Especially if,89
Brindisi,LOC,a naughty little love song he had picked up at Brindisi on the way out. He did it simply to,103
Italy,GPE,"""My guardian and I speak it. He loves Italy and the Italians. He knew my grandmother there.",106
Saturn,LOC,his loose coatee removed and a white duster tucked into Saturn's waist-ring was now helping to hand round,138
Khân,GPE,"""Who was it, Khân-jee?"" asked Father Ninian, in a",144
wigwam,GPE,"been the background of sand and reed, spear and wigwam, the foreground of net and fish. Yet the",176
Khân,GPE,"""Not a cowrie less, Khân-jee. 'Tis the only one in the",177
the Akbar Khân,LOC,"from occupations which he considered were beneath the dignity of the Akbar Khân of the past. Therefore being, for the nonce",178
Shropshire,GPE,retainer's views on preserving being absolutely those of a Shropshire squire who is also a J. P.,183
Italy wilayat,GPE,"brought him a bird that would sing of itself from Italy wilayat.""",187
Nawah,GPE,"master, like two peas in one pod with the Nawah. Except for women. Pidar Narâyan took his way",191
Kanjara,GPE,"brother's, last hope of favour. Walidâd, Kanjara, who had been king's caterer for years before",195
Italy,GPE,", was not of our race. He was of Italy wilayat and a prince. So, one day,",197
Calcutta,LOC,"Huzoors, anyhow, sent the Nawab to die in Calcutta on a pinson[2] for it; but they have",199
wales,LOC,"The wales were neck and neck now, side by side,",211
England,GPE,"of another ""Miss,"" who had returned to England only to die, as so many do, from",223
Calcutta,LOC,"because her husband had been deported with the Nawab to Calcutta, was not so large as one received by a",223
Roshan Khân,GPE,"to one who had gone ahead by express train like Roshan Khân. Thoroughly well-educated, he knew himself to",226
"was,--had",GPE,"been wise. His Colonel,--of the old school though he was,--had admitted, when pressed, that the young Mahomedan,",227
India,GPE,titles tacked on to it. Like all natives of India he lived largely on the approbation of his immediate superiors,228
Calcutta,LOC,"the rest, and sending innocent people to die in Calcutta? Thou knowest the tale, Roshan? How Pidar",246
India,GPE,"there had not been wanting--there never is in India--others, less scrupulous, ready to trade on",247
Lucknow,GPE,"He took a poor creature from Martin's school at Lucknow, at last, who could not even speak English",250
Western,LOC,"Lala Ramanund, whose dress was even more Western, and who had a certain air of distinction,",257
Ramanund,GPE,"of drugs, shot a glance of absolute defiance at Ramanund. ""Thy name, pundit-jee, is",258
Ramanund,GPE,"Here Ramanund, who had hitherto listened indifferently, took up the",267
Ramanund,GPE,"Dya Ram looked at him, then at Ramanund perplexedly. ""What means he?"" he said",269
Ramanund,GPE,"""My wife was dying,"" replied Ramanund in a low, rapid undertone, ""and I",270
Rome,GPE,"him back absolutely to a palazzo on the outskirts of Rome, with the pale flood of the Tiber flowing beneath",280
West,LOC,"of the world; the one which has held the West, the one which has held the East.",283
East,LOC,"held the West, the one which has held the East.",283
pup'll,GPE,"voice, ""mum wants 'oo, 'tos pup'll go off, she says, wis' all a",293
wis,GPE,", 'tos pup'll go off, she says, wis' all a gemplemen, an' she wants '",293
wis,GPE,", an' she wants 'oo to go off wis' a ladies!""",293
the united rivers,GPE,"but once there, with the broad still basin of the united rivers before you, a cool breeze blew pleasantly from that",303
England,GPE,"and shone; the very legend round the arms of England above the Vice-regal chair stood out clear """,359
Ramanund,GPE,"men of old knew. Is it not so, Ramanund?""",362
Euston,GPE,"always popping in and out--I've seen it at Euston--it will come back directly."" And then",366
Mother Earth,LOC,"""Lay him on Mother Earth to die, ye of his caste!"" said",382
India,GPE,or seven millions of wild tribes and forest races in India which go to make up its two hundred and eighty,386
Pundit Ramanund,GPE,"only one canoe in Eshwara, and that belonged to Pundit Ramanund. He had been over the black water, and",387
Ramanund,GPE,"one of the men Am-ma knew must be Ramanund; the other, by his turban, was a",388
Ramanund,GPE,"the camp as quickly as we can,"" said Ramanund, interrupting an impatient retort of Roshan Khân's,",393
salaam,GPE,"nearer in shallower water, where he could stand and salaam.",394
Dee-puk-,GPE,"the Brahmin lad the Huzoors killed by mistake with their Dee-puk-râg. Didst hear the tale?"" asked Ramanund",399
Ramanund,GPE,"-râg. Didst hear the tale?"" asked Ramanund. Why, he would have been puzzled to tell",399
India,GPE,"till those small hours which end gossip, even in India, and the talk had confirmed the theory, which",399
Ramanund,GPE,Ramanund frowned; perhaps because Am-ma concluded by ordering,401
Ramanund,GPE,"""Above or below, fool!"" called Ramanund, sharply, as they neared the shore. """,404
salaam,GPE,", stood up in a linked semi-circle to salaam, then squatted again with a clank of leg irons",407
India,GPE,"the first saluting gun, told that the Viceroy of India was entering his camp.",420
India,GPE,"classification of the aristocracy, plutocracy, and democracy of India, in one generally satisfactory Court-guide.",428
Cork,GPE,"Commissioner, in one of those suave, plastic, Cork brogues which might be made of Cork butter from the",429
Cork,GPE,", plastic, Cork brogues which might be made of Cork butter from the softness and lack of friction they bring",429
India,GPE,"second. ""Of course we must--we govern India practically, by cane-bottomed chairs. Ye remember",432
North-West,LOC,"expect! Well! he kept two hundred miles of North-West frontier as quiet as the grave, for five years",432
cheapenin,GPE,"Teuton, sir, is ruinin' British prestige by cheapenin' the seats of the mighty. There! that",434
St. James,GPE,"blazes should he come to durbar?--attorneys don't go to St. James.""",436
India,GPE,"fellow, was he? who wrote a book about India on the back of his two-monthly return ticket",438
India,GPE,with him for complicating the problem of British rule in India. Why should he want to come to durbar at,444
Hodinuggur,LOC,done! I've found a place for him where Hodinuggur can't see the tail end of him unless he,444
"come,--I'll",GPE,"""Really, there's no need for you to come,--I'll be back in a minute.""",452
Paradise,LOC,", what that first sin had been which had lost Paradise.",484
West,LOC,"at the thought--how evil! And now the West, with its white tents, its white face,",485
London,GPE,for itself? She had worked for two years in London ere coming out to India; and another shudder of,486
India,GPE,worked for two years in London ere coming out to India; and another shudder of memory swept over her of,486
England,GPE,as he returned from a well-earned holiday in England.,496
Paris,GPE,"in the front, and the Englishwomen in the latest Paris fashions who sat behind, were talking and laughing;",500
India,GPE,"feet silently, with the proud alacrity so noticeable in India when the act is a confession of faith, indeed",501
Empire,GPE,"rose, small, insignificant, to give voice to Empire--in a strong Scotch accent, it must be",502
Calcutta,LOC,", or a jauntier figure fresh and glittering from a Calcutta jeweller's shop--would be singled out by its",507
India,GPE,Lord! That's over without a hitch. So India's safe for another six months at the cost of,510
East,LOC,"to see, that is, the mutual assimilation of East and West without injury to either--the little company",518
West,LOC,", that is, the mutual assimilation of East and West without injury to either--the little company of English",518
Roshan Khân,GPE,"he caught a glimpse in them of the lawless approval Roshan Khân had seen, yet of something else--a lawless",539
"smiled--""I",GPE,"only because she's never seen a durbar; but""--he smiled--""I expect someone else wanted her instead. By George!",550
Roshan Khân,GPE,Narâyan's face as he carried the girl off made Roshan Khân curse under his breath.,553
India,GPE,"Rebellion from which so many things date, which young India always feels in the presence of their elders, who",569
India,GPE,"of a hundred years ago, when adventurers ruled half India, and Englishmen were demi-gods. It seemed",581
Paradise,LOC,"life--including a swallow-tail coat--into Paradise.""",591
dreamful,GPE,His voice sank into dreamful ease.,600
India,GPE,"advancing years doomed me to all the stout ladies in India. Besides, me paper cap rids me of two",604
Italy,GPE,fact that she had some of the best blood of Italy in her veins. Vincent Dering had recognized this fact,608
India,GPE,"I don't think miracles go down, even in India, nowadays, sir.""",628
Simla,GPE,a comic opera she was going to get up at Simla. The last new rage in London; she had,632
London,GPE,get up at Simla. The last new rage in London; she had written home for the rights.,632
Empire,GPE,a host of departmental heads was really representing a whole Empire.,633
Laila Bonaventura,GPE,made him turn to look upwards to the archway where Laila Bonaventura had disappeared. It would be a bore if she,641
Ramanund,GPE,"canoe, which he had hired for such excursions from Ramanund (whose last experience of boating had rather sickened him",685
India,GPE,"he was none too soon, since the dawn in India comes quickly.",708
Dee-puk-,GPE,"right. The Huzoors were kings. They knew the Dee-puk-râg. They were the light-bringers, the",723
Fort,GPE,"as he left the court on his way to the Fort, the first note of her voice made him turn",754
Ramanund,GPE,"These gentlemen were Dya Ram, Ramanund, and a third very different sort of person,",758
Ramanund,GPE,"pundit-sahib,"" he said in English to Ramanund, ""that you are, as you say,",760
the British Empire,GPE,"matter is of such paramount importance to the stability of the British Empire, that I should be justified in running counter to",764
the British Empire,GPE,"!"" interrupted the stern, high voice, ""the British Empire will have no choice but to allow jogi Gorakh-",769
India,GPE,"we are asked what we, the educated natives of India, claim, we reply boldly, all things that",772
India,GPE,tip; and that's why steam and electricity rule India. One can be ready without letting people know.,778
India,GPE,"--and prevent him from killing himself with work, India will lose her best engineer. What he wants is",839
Calcutta,LOC,childhood. Perhaps she had changed since she went to Calcutta. He could but try.,845
Rome,GPE,"of the fine ladies' boudoirs of his youth in Rome, had filled it, against her return from school",847
