Location,ent_type,context,p_no
Florence,GPE,"went lame at a desolate part of the road from Florence to Bologna, he had no doubt but that somehow",0
Bologna,GPE,"at a desolate part of the road from Florence to Bologna, he had no doubt but that somehow fortune would",0
Bologna,GPE,"""And I must reach Bologna to-day,"" she cried in an extreme",9
Bologna,GPE,"for I too am in a desperate hurry to reach Bologna.""",10
Bologna,GPE,at this hour and in such a haste to reach Bologna.,15
Bologna,GPE,"your pardon. Yes, I will drive you to Bologna if the landlord will swear to look after my horse",17
Tuscany,GPE,"""He is more. He is of Tuscany.""",25
Bologna,GPE,was used to a light fare. He drove into Bologna that afternoon.,27
Bologna,GPE,"man whom Wogan had seen laugh since he drove into Bologna, and he drew a great breath of hope.",29
Rome,GPE,"Your postillion was Mr. Charles Wogan, who comes from Rome post-haste with the Pope's procuration for the",41
Bologna,GPE,"had been sent to fetch the Princess Clementina privately to Bologna, and here he now was back at Bologna and",50
Bologna,GPE,"to Bologna, and here he now was back at Bologna and alone.",50
Europe,LOC,up of a throne. It was to establish in Europe a party for James Stuart as strong as the party,51
Hanover,GPE,party for James Stuart as strong as the party of Hanover. But so much was known to everyone in that,51
Poland,GPE,"the door, Clementina's qualifications,—""Daughter of the King of Poland, cousin to the Emperor and to the King of",51
Bavaria,GPE,"of Portugal, niece to the Electors of Treves, Bavaria, and Palatine,""—the image of the girl herself rose up",51
Europe,LOC,"the chosen woman, chosen by him out of all Europe—and lost by John Hay!",51
Ohlau,GPE,", and had come at last to the palace at Ohlau in Silesia. It was in the dusk of the",52
Silesia,GPE,"had come at last to the palace at Ohlau in Silesia. It was in the dusk of the evening,",52
Augsburg,GPE,"""Sir, we hurried—to Augsburg,"" faltered Hay. He stopped, and then",59
Augsburg,GPE,"in a burst of desperation he said, ""At Augsburg we stayed eight days.""",59
Augsburg,GPE,"""And why eight days in Augsburg?""",62
Augsburg,GPE,"The Princess's mother would have her jewels reset. Augsburg is famous for its jewellers,"" stammered Hay.",63
Augsburg,GPE,"so that a lady may have her jewels reset at Augsburg, where, to be sure, there are famous",65
Vienna,GPE,just the time for a courier from the Emperor at Vienna to pass you on the road and not press his,67
Bologna,GPE,"concern themselves at all because Mr. Wogan had returned to Bologna. He looked carefully out into the street, chose",82
Spain,GPE,of French Guards who after many seasons of campaigning in Spain and the Low Countries had now for five years served,82
Bologna,GPE,mind every minute of the time since he had entered Bologna. No one had noticed him when he rode in,83
Rome,GPE,"take the key. I am not yet back from Rome."" With that Wogan remembered that he had not",85
Bologna,GPE,"bring upon the Emperor, she would come riding into Bologna.",101
Spain,GPE,"Mr. Wogan; while the Emperor's at war with Spain, while England's fleet could strip him of Sicily",109
England,GPE,"while the Emperor's at war with Spain, while England's fleet could strip him of Sicily, he's",109
Sicily,GPE,"Spain, while England's fleet could strip him of Sicily, he's England's henchman. He dare not",109
England,GPE,"'s fleet could strip him of Sicily, he's England's henchman. He dare not let the Princess go",109
London,GPE,of an impossible escape from Newgate in the heart of London by a man in fetters? There were nine grenadiers,116
Bologna,GPE,"hear Farini. There is talk of his coming to Bologna.""",133
Poland,GPE,is a letter from your Majesty to the King of Poland and a few rascally guineas. I can leave Bologna,143
Bologna,GPE,Poland and a few rascally guineas. I can leave Bologna before a soul's astir in the morning. No,143
astir,GPE,guineas. I can leave Bologna before a soul's astir in the morning. No one but Whittington saw me,143
Bologna,GPE,"Mr. Wogan had two in a stable at Bologna. ""But,"" he added, ""there",156
Bologna,GPE,was told that Mr. Wogan had not yet returned to Bologna.,160
Bologna,GPE,"""Charles Wogan left Bologna at daybreak. Moreover, I have had a message",168
Bologna,GPE,bidding me not to mention that I saw him in Bologna yesterday. One could hazard a guess at the goal,168
Bologna,GPE,"that letter up and wrote another to the Chevalier at Bologna, telling him that the Princess Clementina would venture herself",205
Ohlau,GPE,the next morning he drove out in a carriage towards Ohlau in Silesia.,205
Silesia,GPE,morning he drove out in a carriage towards Ohlau in Silesia.,205
Ohlau,GPE,", hooded with snow, the roofs and towers of Ohlau.",206
