Location,ent_type,context,p_no
France,GPE,"of several months to be spent in the south of France, unnecessary and unpleasant details all omitted.",150
Bath,GPE,", and Violet will have to spend her winter in Bath. Julia? Oh, Julia was not asked in",151
Holland,GPE,"was never satisfied with the one she had. In Holland, as in England, it seemed posts were not",156
England,GPE,"the one she had. In Holland, as in England, it seemed posts were not easy to fill satisfactorily",156
Sodom,GPE,"she was imitating the Patriarch when he was pleading for Sodom and Gomorrah, ""if there were ten bulbs,",173
London,GPE,"she thought, but the next day she wrote to London for a second-hand Dutch dictionary, and then",184
Holland,GPE,When Mrs. Polkington heard Julia wanted to go to Holland and live in a Dutch family she was surprised.,186
Holland,GPE,"When Violet suggested that it was odd to have chosen Holland in preference to France or Germany, she replied truthfully",186
France,GPE,"it was odd to have chosen Holland in preference to France or Germany, she replied truthfully that the one was",186
Germany,GPE,"odd to have chosen Holland in preference to France or Germany, she replied truthfully that the one was possible to",186
Holland,GPE,"quite approved of the plan, saw no objection to Holland, adding as a recommendation, ""It is so",187
London,GPE,"was going, and what time she would be in London, as he would like to give himself the pleasure",189
Holland,GPE,Stairs. There is a cheap way of going to Holland from there for those who do not mind spending twenty,201
Holland,GPE,"yes; there is no passenger but one, a Holland gentleman; he will not speak with the miss,",202
Holland,GPE,"she was only going to do what she must in Holland; the debt must be paid, honour demanded no",212
Marthe,LOC,But her daughters were not interested in Marthe; the English girl at the Van Heigens' interested,221
china,GPE,washed them and put them ready for supper in a china dish like a large soap dish on three feet.,239
Mijnheer,GPE,"and dry, sorted according to kind and quality; Mijnheer knew them all; he could, like a book",245
Persia,GPE,in bloom as do hyacinths. The mourn iris of Persia is very beautiful; we have not one flowering yet,249
Holland,GPE,"is the greatest rarity that has ever been reared in Holland, a miracle, in fact—a blue daffodil",251
Asia,LOC,"the Van Heigens' gardens, and not imported from Asia, as Mr. Cross thought. There were six roots",252
Holland,GPE,. I would sooner—there are many men in Holland who would sooner—have produced this flower than have,257
Mijnheer,GPE,"next day, Sunday, Julia went to church with Mijnheer and Joost; Mevrouw did not find herself well enough",259
Mijnheer,GPE,that was done they stopped again at the house of Mijnheer's head clerk; here they were to take up,295
England,GPE,"""Do they have such picnics as this in England?"" Anna asked, as she gathered up the",306
Mijnheer,GPE,"while with Mevrouw, and helping to detail it to Mijnheer. At last the table was ready for supper and",334
Holland,GPE,", but his greeting was a very usual question in Holland, ""Will you not catch cold?""",340
England,GPE,"no doubt; you have not had a letter from England for a long time.""",349
Delft,GPE,"-board things of bright red mahogany, with modern Delft vases, very blue indeed, upon them. And",385
England,GPE,"you have not found these absurd rules and restrictions in England?""",439
Holland,GPE,thought herself the deepest and most diplomatic young woman in Holland; she even found it in her heart to pity,473
Germany,GPE,"shall have for a little while; Joost goes to Germany on business to-morrow.""",478
Germany,GPE,"at home and doing crochet work while Joost is in Germany, for instance, may help me a good deal",482
Holland,GPE,"mentioning, and was not only the first chemist in Holland, but in all the world; he looked down",493
Holland,GPE,", but it would eventually raise the little army of Holland far above those of all other nations.",493
England,GPE,"Herr Van de Greutz had a secret worth anything to England, it was that which had brought Rawson-Clew",496
Germany,GPE,"The next day Joost started for Germany. It rained more or less all day, and",529
Mijnheer,GPE,"surprised if she had volunteered to go in place of Mijnheer, even if his cold had not offered a reason",534
Germany,GPE,once again—that it was possibly not raining in Germany.,537
Europe,LOC,most-susceptible to death by consumption of any in Europe.,545
London,GPE,"in the early autumn—Captain Polkington was coming to London, perhaps for as long as three months. Johnny",558
Germany,GPE,"letters arrived on the day that Joost came home from Germany, after the English mail for the day had gone",559
Germany,GPE,hook her son had brought her as a present from Germany. Joost had brought several small presents besides the crochet,559
Berlin,GPE,"photograph of a plant which was the pride of the Berlin gardens that year—an aloe, no yucca,",559
Berlin,GPE,in his hearing a wish that she had something from Berlin; she had said it rather pronouncedly as one might,560
the Rocky Mountains,LOC,"as one might express a desire for a bear from the Rocky Mountains, or a ruby from Burmah; she could hardly",560
Berlin,GPE,slip the fact that Julia also had a present from Berlin.,560
England,GPE,"of jealousy. She had thrust her two letters from England into her pocket, and as she went she kept",568
London,GPE,"could do except prevent the banishing of her father to London. She would write to her mother about that,",568
