Location,ent_type,context,p_no
Saffron Park,GPE,"THE suburb of Saffron Park lay on the sunset side of London, as red",0
London,GPE,"suburb of Saffron Park lay on the sunset side of London, as red and ragged as a cloud of sunset",0
sky‑line,GPE,"It was built of a bright brick throughout; its sky‑line was fantastic, and even its ground plan was wild",0
Eden,LOC,", their eyes like stars and their souls again in Eden, if the next station were unaccountably Baker Street!",10
New Jerusalem,GPE,got there ?’ You think Victoria is like the New Jerusalem. We know that the New Jerusalem will only be,15
New Jerusalem,GPE,"is like the New Jerusalem. We know that the New Jerusalem will only be like Victoria. Yes, the poet",15
Southend,GPE,a penny steamer (if I remember correctly) at Southend. You have irritated me.”,56
Chiswick,GPE,the trap the address of an obscure public‑house on the Chiswick bank of the river. The cab whisked itself away,75
Saffron Park,GPE,secret by talking about anarchism to every silly woman in Saffron Park?”,109
Europe,LOC,"Central Anarchist Council, who is the greatest man in Europe.”",113
London,GPE,"so express it) is the night on which our London branch, which assembles in this room, has to",122
Brighton,GPE,"were considerable. He organised the great dynamite coup of Brighton which, under happier circumstances, ought to have killed",169
Europe,LOC,which are heaped upon our heads from one end of Europe to another. The man who has always heard that,176
Europe,LOC,of Thursday on the General Council of the Anarchists of Europe.,223
the moonlit river,LOC,"sharply, showing a sudden blue and silver picture of the moonlit river, that looked like a scene in a theatre.",230
Thames,GPE,", no nearer a living. As he paced the Thames embankment, bitterly biting a cheap cigar and brooding on",237
old‑fashioned,GPE,"chimney‑pot hat; he was wrapped in a yet more old‑fashioned cloak, black and ragged; and the combination gave",239
Saffron Park,GPE,"afterwards, cut and pointed, on the lawns of Saffron Park. A long, lean, black cigar, bought",239
Thames,GPE,to be talking philosophy in a blue helmet on the Thames embankment?,255
Europe,LOC,"our departments, one of the most celebrated detectives in Europe, has long been of opinion that a purely intellectual",258
Russia,GPE,"the constable, “with those chance dynamite outbreaks from Russia or from Ireland, which are really the outbreaks of",268
Ireland,GPE,"“with those chance dynamite outbreaks from Russia or from Ireland, which are really the outbreaks of oppressed, if",268
