Location,ent_type,context,p_no
Chatham,GPE,", my cousin, who has since died in the Chatham infirmary; I have eaten illegal snacks—the unjustifiable",0
England,GPE,was the Accident of Birth. It always is in England.,4
Thames,GPE,"eaten in upon, but greatly edified, into this Thames-side yard, into these white heats and hammerings",6
victual,GPE,"uncle swimming in the middle as the largest lump of victual. I'll own that here, with the pen",9
the Kentish Downs,LOC,"Bladesover lies up on the Kentish Downs, eight miles perhaps from Ashborough; and its old",14
Ashborough,GPE,"up on the Kentish Downs, eight miles perhaps from Ashborough; and its old pavilion, a little wooden parody",14
Tibur,GPE,"a little wooden parody of the temple of Vesta at Tibur, upon the hill crest behind the house, commands",14
Thames,GPE,"of either sea, of the Channel southward and the Thames to the northeast. The park is the second largest",14
Kent,GPE,"the northeast. The park is the second largest in Kent, finely wooded with well-placed beeches, many",14
Northward,LOC,"high road along the skirts of the great park. Northward, at the remotest corner of that enclosure, is",14
Ropedean,GPE,"of that enclosure, is a second dependent village, Ropedean, less fortunate in its greater distance and also on",14
Ropedean,GPE,estranged from the great ladies of Bladesover. So that Ropedean was in the shadows through all that youthful time.,14
Ashborough,GPE,"and the labouring folk, the trades-people of Ashborough, and the upper servants and the lower servants and",15
London,GPE,was the order of the whole world. I thought London was only a greater country town where the gentle-,17
England,GPE,There are many people in England to-day upon whom it has not yet dawned,18
Kent,GPE,"creepers, the English countryside—you can range through Kent from Bladesover northward and see persists obstinately in looking what",18
Bladesover,LOC,the English countryside—you can range through Kent from Bladesover northward and see persists obstinately in looking what it was,18
England,GPE,"have grown bright and strong, so that the new England of our children's children is still a riddle to",19
Lichtenstein,GPE,"remembered my mother, if either my uncle or old Lichtenstein had been man enough to stand being given away like",20
England,GPE,"now, ""No, Miss Fison, peers of England go in before peers of the United Kingdom, and",27
the United Kingdom,GPE,"Fison, peers of England go in before peers of the United Kingdom, and he is merely a peer of the United",27
the United Kingdom,GPE,"United Kingdom, and he is merely a peer of the United Kingdom."" She had much exercise in placing people's",27
England,GPE,is distinctively British and perplexing to the foreign inquirer in England and the English-speaking peoples. Grasp firmly that,28
England,GPE,and the English-speaking peoples. Grasp firmly that England was all Bladesover two hundred years ago; that it,28
America,GPE,"habitual bonds have relaxed or altogether come undone. And America too, is, as it were, a detached",28
the East Indies,LOC,"some sort of governor or such-like portent in the East Indies, and from her remains—in Mrs. Mackridge—",31
Canada,GPE,"open, ""that Lord Tweedums is to go to Canada.""",50
New South Wales,GPE,"Mackridge. ""They say he was extremelay popular in New South Wales. They looked up to him greatlay. I knew",53
Sydney,GPE,"would have graced it, ""got into trouble at Sydney.""",55
