Location,ent_type,context,p_no
Howards End,GPE,"Howards End, Tuesday.",1
London,GPE,".  How could he have got hay fever in London?  and even if he could, it seems",5
garlands,GPE,"—magnificently tall, so that they fall down in garlands, and nice and thin at the bottom, so",7
Howards End,GPE,"Howards End, Friday.",9
Germany,GPE,"all.  Mrs. Wilcox, if quieter than in Germany, is sweeter than ever, and I never saw",11
Howards End,GPE,"Howards End, Sunday.",13
Heidelberg,GPE,the Wilcoxes on an awful expedition that we made from Heidelberg to Speyer.  Helen and I had got it,22
Speyer,GPE,on an awful expedition that we made from Heidelberg to Speyer.  Helen and I had got it into our,22
the Rhine Valley,LOC,", and Köln.' Those three sees once commanded the Rhine Valley and got it the name of Priest Street.""",22
Heidelberg,GPE,"liked Helen insisting that they must fly with us to Heidelberg.  As a matter of fact, they did",24
London,GPE,"broke off, and listened to the sounds of a London morning.  Their house was in Wickham Place,",25
London,GPE,piled itself higher and higher on the precious soil of London.,25
Germany,GPE,"accord that the principles of restoration were ill understood in Germany.  ""The Germans,"" she said,",26
Howards End,LOC,"jumped up and kissed her—""I must, must go to Howards End myself.  You don't exactly understand, though",42
Paddington,GPE,to them alas!  we return.  In Paddington all Cornwall is latent and the remoter west; down,66
Cornwall,GPE,alas!  we return.  In Paddington all Cornwall is latent and the remoter west; down the inclines,66
Scotland,GPE,of Liverpool Street lie fenlands and the illimitable Broads; Scotland is through the pylons of Euston; Wessex behind the,66
Euston,GPE,the illimitable Broads; Scotland is through the pylons of Euston; Wessex behind the poised chaos of Waterloo.  ,66
Waterloo,GPE,"pylons of Euston; Wessex behind the poised chaos of Waterloo.  Italians realize this, as is natural;",66
Berlin,GPE,"who are so unfortunate as to serve as waiters in Berlin call the Anhalt Bahnhof the Stazione d'Italia, because by",66
Nottingham,GPE,"out of politeness, invested a few hundreds in the Nottingham and Derby Railway, and though the Foreign Things did",69
Nottingham,GPE,", and though the Foreign Things did admirably and the Nottingham and Derby declined with the steady dignity of which only",69
Derby,GPE,though the Foreign Things did admirably and the Nottingham and Derby declined with the steady dignity of which only Home Rails,69
Nottingham,GPE,"being pressed, consecrated a fraction of it to the Nottingham and Derby Railway.  So far so good,",69
London,GPE,"coaching and pre-coaching days.  Being near London, it had not shared in the rural decay,",71
England,GPE,"note.  Into which country will it lead, England or Suburbia?  It was new, it had",72
London,GPE,"give her a good scolding and take her back to London with me.""",141
Nigeria,GPE,"""He has to make his way out in Nigeria.  He couldn't think of marrying for years",142
London,GPE,"is saved this!"" which during the journey to London evolved into, ""It had to be gone through",171
