Location,ent_type,context,p_no
Westminster,GPE,"at Mr. Coverley's, sir; they go to Westminster now. One of them stayed with us last holidays",10
St. John's,GPE,them stayed with us last holidays. They live in St. John's Wood Park.”,10
London,GPE,seemed even to understand the joy of a jaunt to London for a boy who was getting very little out of,13
the Middle Fifth,LOC,"but then he really was almost seventeen, and in the Middle Fifth, and allowed to smoke asthma cigarettes in bed.",19
London,GPE,"real crimes in the paper, and all thoughts of London until he found himself there too soon.",19
Westminster,GPE,o'clock. Guy and Vivian Knaggs would be home from Westminster in another hour. Still it was no use getting,41
St. John's,GPE,Guy and Vivian at the end of their garden in St. John's Wood Park! And all very likely for five bob,42
St. John's,GPE,"had not come in when Pocket finally cast up in St. John's Wood Park. But their mother was at home,",44
London,GPE,", she rather wondered at his being allowed alone in London at all. Pocket, who could sometimes shine in",44
London,GPE,Knaggs that her own Westminster boys were allowed alone in London every day of their lives. But Mrs. Knaggs said,44
Westminster,GPE,"thought Pocket's public school must be very different from Westminster. Pocket bridled, but behaved himself; he knew",44
London,GPE,cast adrift at sixteen among the shoals and quicksands of London. Nor was this quite the case as yet;,59
London,GPE,of his way there; he knew hardly anything of London except St. John's Wood and his present landmark of,74
St. John's,GPE,way there; he knew hardly anything of London except St. John's Wood and his present landmark of the Nelson column and,74
London,GPE,would sell his young life dearly if he fell among London thieves; in his death he would not be unhonoured,76
Park,GPE,decent people to follow without further tremors into the indubitable Park.,77
London,GPE,know that warm and angry glow for the reflection of London's light and life; he could not forget he,80
London,GPE,and life; he could not forget he was in London for a moment. Her mighty machinery with its million,80
London,GPE,"what arch in the slums, in his ignorance of London he had no idea.",96
Hyde Park,GPE,to climb every fence and look behind every bush in Hyde Park?,97
Leicestershire,GPE,Coverley and Charles Peace and his own people down in Leicestershire.,101
Leicestershire,GPE,It so happened that his people in Leicestershire were thinking of him. They had been talking about,102
Hyde Park,GPE,the very time of the boy's inconceivable meanderings in Hyde Park. And two of them were at it still.,102
England,GPE,"some mammoth forge, you were in the heart of England undefiled.",103
London,GPE,to score off me. Isn't Tony up in London to-night?”,142
Australia,GPE,"away from school altogether, and pack him off to Australia in a sailing ship. But what's to be",156
London,GPE,who had never studied that disorder. The specialist in London seemed another mistake on the part of that managing Lettice,157
Leicestershire,GPE,the early morning. The birds were singing down in Leicestershire as in Hyde Park. The morning sun was slanting,159
London,GPE,an instant to this dreadful stranger in the wilds of London. He writhed under the ordeal of that protracted scrutiny,180
London,GPE,heard of me; but if you inquire here in London you will find that I am not unknown. I,218
London,GPE,"it was none the less disagreeable to be driven through London by an utter stranger, and not to see the",221
London,GPE,complexion of prehistoric paint debased by the caprices of the London climate. One touch of colour the lad saw before,222
morocco,GPE,"longing eyes at the substantial oblong of wood and black morocco, and duplicate lenses like a pair of spectacles,",230
Phillida,GPE,"unmitigable surname. He could not help thinking that this Phillida did not look the one to flout a fellow,",302
London,GPE,“And they let you come up to London alone!” remarked Dr. Baumgartner when he got a,308
London,GPE,"I will unless I'm in some outlandish part of London!” cried Pocket, reflecting for the first time",349
London,GPE,time that he had no idea in what part of London he was. “I must catch it. It,349
England,GPE,"for trial; it would get into every paper in England; your family could not stop it, your schoolfellows",406
London,GPE,Even though it comes to hiding with us here in London?”,430
Tassaud,GPE,broad-arrows of the little old waxwork at Madame Tassaud's! He could not help himself; his mind,438
England,GPE,"You talk about your undesirable aliens, but here in England you breed undesirables enough to manure the world! It",443
Tarpeian Rock,LOC,some of us in these days who would prescribe a Tarpeian Rock for modern decadence. So much in pious parenthesis!,451
Bismarck,GPE,"thought nothing of your human life. Von Moltke, Bismarck, and our staff in Germany thought as little of",451
Germany,GPE,". Von Moltke, Bismarck, and our staff in Germany thought as little of it as Napoleon; the Empire",451
Empire,LOC,Germany thought as little of it as Napoleon; the Empire of my countrymen was founded on a proper appreciation of,451
