Location,ent_type,context,p_no
Paris,GPE,'s sitting-room at the Hôtel de l'Horloge in Paris.,0
Rue Jolie,GPE,"small black letters, the address, ""5, Rue Jolie, Montmartre.""",2
Montmartre,GPE,", the address, ""5, Rue Jolie, Montmartre.""",2
Paris,GPE,". Not long before this, her first visit to Paris, a London acquaintance had taken her to see a",4
London,GPE,"before this, her first visit to Paris, a London acquaintance had taken her to see a noted palmist named",4
London,GPE,"""I went to one last time I was in London and he really didn't tell me anything of the",15
Paris,GPE,"with a foreign woman. Yet here she was in Paris, and here was the foreign woman standing close to",16
Montmartre,GPE,"so I shall spend my afternoon in going up to Montmartre, to the Rue Jolie, to hear what this",18
England,GPE,has to say. It will be what you in England call 'a lark'! And I do not,18
Chester,GPE,"she had had her way—nay, more; Chester, at the very last, had gone to great",42
Montmartre,GPE,", she took off her pearls before starting out for Montmartre, leaving the case in the charge of M. Girard",44
Montmartre,GPE,byways and narrow streets which lead to the top of Montmartre.,45
Paris,GPE,"disliked the manner in which she was stared at in Paris, and she had been much embarrassed as well as",47
Rue Jolie,GPE,"As for No. 5, Rue Jolie, it was a queer miniature house more like a",50
England,GPE,had not taken off her wedding-ring. In England the wise woman always takes off her wedding-ring,85
Dieppe,GPE,"suddenly looked up: ""I spent my childhood at Dieppe, and that often suggests images to me,""",88
Paris,GPE,"Your two fates are closely intertwined. Do not leave Paris for awhile, especially do not leave Paris together.",163
Paris,GPE,"not leave Paris for awhile, especially do not leave Paris together. I see you both running into terrible danger",163
Paris,GPE,"advise you, together and separately, to return to Paris as soon as possible.""",163
Paris,GPE,"only follow my advice, if you do not leave Paris for, say""—she hesitated a moment, as if making",172
Paris,GPE,foolish thing to do. She is aware that in Paris it is not very easy for a stranger to obtain,180
Paris,GPE,to go away! As long as she remains in Paris she cannot lose her money. If she goes,180
Dieppe,GPE,"cannot lose her money. If she goes to Dieppe, Trouville, any place where there is a Casino",180
Trouville,GPE,"lose her money. If she goes to Dieppe, Trouville, any place where there is a Casino, she",180
Switzerland,GPE,"only wish there were! You are going on to Switzerland to join your friends, and as for me,",182
Paris,GPE,part in one of the gay little expeditions which make Paris to a stranger the most delightful of European capitals.,185
Paris,GPE,"there floated in a busy, happy murmur, for Paris is an early city, and nine o'clock there is",186
London,GPE,and nine o'clock there is equivalent to eleven o'clock in London.,186
London,GPE,"an English provincial town, had always felt strange in London. But with Paris,—dear, delightful, sunny Paris,—she had",190
Paris,GPE,the beginning of each of the great arteries of modern Paris.,190
France,GPE,"was not all. Sylvia Bailey knew something of the France of the past. The quiet, clever, old",191
Seine,GPE,"through the narrow streets on the other side of the Seine, and reconstitute the amazing, moving, tragic things",191
Switzerland,GPE,"or so she had promised to join some acquaintances in Switzerland. Luckily her trustee and would-be lover,",192
Paris,GPE,"ways. Chester had not approved of her going to Paris by herself, and he would certainly have shaken his",192
Switzerland,GPE,only Anna would consent to come on with her to Switzerland! But alas! there was no chance of that,193
Lacville,GPE,". I do not suppose you have ever heard of Lacville, Sylvia?""",197
Lacville,GPE,Anna's face. Why was Anna Wolsky going to Lacville? There was something about the place concerning which she,200
Lacville,GPE,. Why should she not also make her way to Lacville?,202
Paris,GPE,"She opened the ""Guide-Book to Paris and its Environs,"" of which she had made",203
Lacville,GPE,"beautiful Forest of Montmorency, the pretty little town of Lacville is still famed for its healing springs and during the",204
Lacville,GPE,"Lacville is the spendthrift, the gambler—the austere would",206
Paris,GPE,—of the group of pretty country towns which encircle Paris; for Lacville is in the proud possession of a,206
Lacville,GPE,group of pretty country towns which encircle Paris; for Lacville is in the proud possession of a Gambling Concession which,206
Paris,GPE,"majority of intelligent, cultivated English and American visitors to Paris remain quite unaware that there is, within half an",207
Lacville,GPE,"Girard would doubtless tell her of a good train to Lacville, and if it were a small place she might",209
Lacville,GPE,"of mine, who keeps the most select hotel at Lacville. It is called the Villa du Lac. Is",212
Lacville,GPE,"Villa du Lac. Is Madame thinking of going to Lacville instead of to Switzerland?""",212
Switzerland,GPE,"Is Madame thinking of going to Lacville instead of to Switzerland?""",212
Lacville,GPE,"he repeated; ""well—Dame! Lacville is Lacville! It is not like anything Madame has ever seen",215
Lacville,GPE,"is, perhaps, the principal attraction;—then the villas of Lacville—ah! they are ravishingly lovely, and then",215
Lacville,GPE,"by herself, but if Madame really desires to see Lacville properly my wife and I will make a great pleasure",217
Lacville,GPE,"one Sunday night. It is very gay, is Lacville on Sunday night—or, perhaps,"" added",217
Lacville,GPE,"and twenty trains daily from the Gare du Nord to Lacville,"" said the hotel-keeper drily. """,219
Lacville,GPE,"But why do so many people want to go to Lacville?""",220
Lacville,GPE,Bailey did not know what was the real attraction of Lacville? Yet it was not his business to run the,221
Paris,GPE,"If Madame Bailey really wanted to leave salubrious, beautiful Paris for the summer, why should she not go to",221
Lacville,GPE,"for the summer, why should she not go to Lacville instead of to dull, puritanical, stupid Switzerland?",221
Switzerland,GPE,"to Lacville instead of to dull, puritanical, stupid Switzerland?",221
Lacville,GPE,"""Many people go to Lacville in order to play baccarat,"" he said lightly",223
Lacville,GPE,And then Sylvia knew why Anna Wolsky had gone to Lacville.,224
Brazil,GPE,"Madame, my cousin was chef to the Emperor of Brazil's sister—this has given him a connection among",229
Paris,GPE,"Lacville, it seemed to Sylvia that the whole of Paris was placarded with the name of the place she was",233
the blue lake,LOC,"its human freight of two lovers. Jutting out into the blue lake was a great white building, which Sylvia realised must",234
