Location,ent_type,context,p_no
London,GPE,"couldn't get enough exercise, and the amusements of London seemed as flat as soda-water that has been",0
Bulawayo,GPE,plans I had been building up those last years in Bulawayo. I had got my pile-not one of,1
Scotland,GPE,"enjoying myself. My father had brought me out from Scotland at the age of six, and I had never",1
England,GPE,", and I had never been home since; so England was a sort of Arabian Nights to me, and",1
South Africa,GPE,". They would fling me a question or two about South Africa, and then get on their own affairs. A",2
New Zealand,GPE,"Imperialist ladies asked me to tea to meet schoolmasters from New Zealand and editors from Vancouver, and that was the dismalest",2
Vancouver,GPE,"tea to meet schoolmasters from New Zealand and editors from Vancouver, and that was the dismalest business of all.",2
the United Kingdom,GPE,"veld, for I was the best bored man in the United Kingdom.",2
the Near East,LOC,"evening papers. They were full of the row in the Near East, and there was an article about Karolides, the",3
Berlin,GPE,". I gathered that they hated him pretty blackly in Berlin and Vienna, but that we were going to stick",3
Vienna,GPE,"gathered that they hated him pretty blackly in Berlin and Vienna, but that we were going to stick by him",3
Europe,LOC,one paper said that he was the only barrier between Europe and Armageddon. I remember wondering if I could get,3
Armageddon,GPE,said that he was the only barrier between Europe and Armageddon. I remember wondering if I could get a job,3
Albania,GPE,a job in those parts. It struck me that Albania was the sort of place that might keep a man,3
Cape,LOC,"happened, I would take the next boat for the Cape.",4
Kentucky,GPE,"He was an American, from Kentucky, and after college, being pretty well off,",19
Chicago,GPE,"a bit, and acted as war correspondent for a Chicago paper, and spent a year or two in South",19
Europe,LOC,and it suited the book of both classes to set Europe by the ears.,21
Russia,GPE,. The aim of the whole conspiracy was to get Russia and Germany at loggerheads.,22
Germany,GPE,aim of the whole conspiracy was to get Russia and Germany at loggerheads.,22
Russia,GPE,"the Jew was behind it, and the Jew hated Russia worse than hell.",23
the Empire of the,GPE,"world just now, and he has his knife in the Empire of the Tzar, because his aunt was outraged and his father",24
Tzar,GPE,"and he has his knife in the Empire of the Tzar, because his aunt was outraged and his father flogged",24
Volga,LOC,father flogged in some one-horse location on the Volga.”,24
Berlin,GPE,", and that has upset the pretty plan laid in Berlin and Vienna. But my friends haven't played their",26
Vienna,GPE,that has upset the pretty plan laid in Berlin and Vienna. But my friends haven't played their last card,26
Europe,LOC,"for the taking off, with the eyes of all Europe on it. He'll be murdered by an Austrian",36
Vienna,GPE,evidence to show the connivance of the big folk in Vienna and Berlin. It will all be an infernal lie,36
Berlin,GPE,"show the connivance of the big folk in Vienna and Berlin. It will all be an infernal lie, of",36
London,GPE,knows the wheels of the business alive right here in London on the 15th day of June. And that man,36
Tyrol,GPE,"the first hint in an inn on the Achensee in Tyrol. That set me inquiring, and I collected my",39
Buda,GPE,"in a fur-shop in the Galician quarter of Buda, in a Strangers” Club in Vienna, and",39
Vienna,GPE,"quarter of Buda, in a Strangers” Club in Vienna, and in a little bookshop off the Racknitzstrasse in",39
Leipsic,GPE,", and in a little bookshop off the Racknitzstrasse in Leipsic. I completed my evidence ten days ago in Paris",39
Paris,GPE,"Leipsic. I completed my evidence ten days ago in Paris. I can't tell you the details now,",39
Paris,GPE,"this city by a mighty queer circuit. I left Paris a dandified young French-American, and I sailed",39
Hamburg,GPE,"dandified young French-American, and I sailed from Hamburg a Jew diamond merchant. In Norway I was an",39
Norway,GPE,I sailed from Hamburg a Jew diamond merchant. In Norway I was an English student of Ibsen collecting materials for,39
Bergen,GPE,"Ibsen collecting materials for lectures, but when I left Bergen I was a cinema-man with special ski films",39
London,GPE,-wood propositions in my pocket to put before the London newspapers. Till yesterday I thought I had muddied my,39
London,GPE,a corpse-you can always get a body in London if you know where to go for it. I,45
India,GPE,"some British officer who had had a long spell in India. He had a monocle, too, which he",51
England,GPE,him as my servant as soon as I got to England. He had about as much gift of the gab,55
City,LOC,"a box of cigars, and went down to the City till luncheon. When I got back the lift-",58
London,GPE,"to Karolides would not begin till he had got to London, and would come from the very highest quarters,",66
Jordan,GPE,Him when I wake up on the other side of Jordan.”,68
England,GPE,enough to hang me. Few people knew me in England; I had no real pal who could come forward,76
the British Isles,LOC,out an atlas and looked at a big map of the British Isles. My notion was to get off to some wild,84
Scotland,GPE,"a trapped rat in a city. I considered that Scotland would be best, for my people were Scotch and",84
Scotland,GPE,"to go. It was the nearest wild part of Scotland, so far as I could figure it out,",84
Rhodesia,GPE,sovereigns in a belt which I had brought back from Rhodesia. That was about all I wanted. Then I,87
gyaird,GPE,“The impidence o” that gyaird!” said the lady bitterly. “He needit,104
London,GPE,"still a free man, I had stayed on in London and not got the good of this heavenly country.",106
Leeds,GPE,"car, but I got a luncheon-basket at Leeds and shared it with the fat woman. Also I",106
