Location,ent_type,context,p_no
Paris,GPE,Paris hints of sacrifice. — But here we deal with,0
America,GPE,corner. — Its rent is half paid by America. Germany occupies a sensible apartment on the second,2
Germany,GPE,— Its rent is half paid by America. Germany occupies a sensible apartment on the second floor.,2
London,GPE,"“How is London looking, then ?”",7
Cambridge,GPE,n’t there the whole time. — I was in Cambridge last week.”,8
Cambridge,GPE,"go to perdition from time to time, instead of Cambridge, as it always is, you grim, grim",9
Berne,GPE,They went to the Berne to have a drink.,10
Cambridge,GPE,This was Alan Hobson’s outfit. — A Cambridge cut disfigured his originally manly and melodramatic form.,14
Egypt,GPE,". His father was a wealthy merchant somewhere in Egypt. He was very athletic, and his dark and",14
villainies,GPE,constructed by Nature as a lurking-place for villainies and passions. He was untrue to his rascally,14
panama,GPE,"a short sea  voyage, an absence, a panama hat on his companion’s head, had been",16
Salle,GPE,"“Through a German I know — Salle, Salla, or something.”",31
Cairo,GPE,"name for Hobson: “The olde Crow of Cairo,” rather longer.",42
Cairo,GPE,"He had been hustled — through his vanity, the Cairo Cantabian thought — somewhere where the time could be",53
caws,GPE,"Hobson let himself go in whoops and caws, as though Tarr had been pressing him to perform",83
Cambridge,GPE,"unit, with a profound esprit de corps. The Cambridge set that you represent is as observed in an",125
Europe,LOC,up a wide and creeping rot in the West of Europe. —  They make it indirectly a peril and,128
Berne,GPE,unsatisfied. — He rushed away from the café Berne still strong and with much more to say.,143
Paris,GPE,"commerce. He had started a motor business in Paris, and through circularizing the Americans resident there and",145
South Africa,GPE, the ambition of getting Hobson into a bank in South Africa.,146
Yankee,GPE,a check cap phenomenally peaked. A sweater and Yankee jacket exaggerated his breadth. He was sunk in,147
Tout,GPE,"figure, and so get some little compensation. Tout au plus, if the sentimental grin would not ",185
England,GPE,"my fault. With the training you get in England, how can you be expected to realize anything ?",205
England,GPE,"? The University of Humour that prevails everywhere in England as the national institution for developing youth, provides",205
Samaritaine,GPE,"“No. — Take me as far as the Samaritaine, will you ?”",226
Lowndes,GPE,"even in the morning, strange to say) in Lowndes’ studio, rapidly sucking a pipe, blinking,",238
Berlin,GPE,Lowndes had spent two years in Berlin and Munich. Many of his friends were Austrian.,258
Munich,GPE,Lowndes had spent two years in Berlin and Munich. Many of his friends were Austrian.,258
Berne,GPE, easy. But ever since his conversation at the Berne he had been conscious of the absurd easiness of,287
Paris,GPE,duration could not be gauged.—He wished to stay in Paris just then to finish some paintings begun some months,288
England,GPE," had thought that, instead of going away to England-where the separation might cause him restlessness, ",289
tropic gulf,LOC,"was a pleasant current, setting from some immense and tropic gulf, neighboured by Floridas of remote invasions. He",292
Floridas,GPE,"from some immense and tropic gulf, neighboured by Floridas of remote invasions. He ambled down it puissantly",292
Paris,GPE,"reserve of keen business preoccupations, showed the usual Paris commerçante. The white, black, and slate",294
Fairyland,GPE,"the trees, sultry smoke volumes from factories in Fairyland. Its   novelty, fresh yet dead, had",296
Venus,LOC,if German mothers have replicas and photographs of the Venus of Milo in their rooms during the first three,301
Munich,GPE,"Prussian art periodicals, the arid, empty intellectualism of Munich. She had been a heavy baby. Her",301
Islands,LOC,"mildewy blight. The cold, repulsive shades of Islands of the Dead, gigantic cypresses, grottos of",309
Normandy,GPE,"dislike this face extremely), brass jars from Normandy, a photograph of Mona Lisa (Tarr hated",309
Viennese,GPE,"humorous,  superficial natures, a Venetian or a Viennese, the easy product of a cynical and abundant",337
Sorbet,GPE,"“Vous êtes mon goût, Sorbet. Du bist mein gesmack,” she would say",347
Liberty,GPE,"was it not merely restlessness of youth, propaganda of Liberty, that a year or so would see in",443
Limbo,GPE,", that a year or so would see in Limbo ? For was he not a “marrying man",443
directer,GPE,"Comedy being always the embryo of Tragedy, the directer nature weeps. Women are of course directer than",454
Paris,GPE,"He was shaving himself, one eye fixed on Paris. It beat on this wall of Paris drearily",503
Paris,GPE,on Paris. It beat on this wall of Paris drearily. Had it been endowed with properties of,503
Paris,GPE,"The Pas de Calais had somehow produced her. Paris, shortly afterwards, had put the mark of its",513
Berne,GPE,They got near the Berne.,552
Paris,GPE,"Nine months previously Kreisler had arrived in Paris at the Gare de Lyon, from Italy. He",576
Italy,GPE,"arrived in Paris at the Gare de Lyon, from Italy. He had left Rome, according to his",576
Rome,GPE,"de Lyon, from Italy. He had left Rome, according to his account, because the Italian ",576
Paris,GPE,". — For some time he stood on the Paris platform, ulster thrown back, smoking a lean ",579
Paris,GPE,"in it. He was glad to be in Paris. How busy the women, intent on travel,",579
Rome,GPE,Volker had not done this in Rome. — Even there he had given indications of latent,586
Paris,GPE,been curbed by classic presences. Since arriving in Paris he had blossomed prodigiously. He dealt out a,586
Rome,GPE,good journey ? Your letter amused me ! — So Rome became too hot ?”,590
Rome,GPE, toasting the creditors Kreisler had left behind in Rome.,597
Rome,GPE,-reaching of civilized matter. It was in Rome or in Paris. It had an air of possession,598
Paris,GPE,civilized matter. It was in Rome or in Paris. It had an air of possession everywhere.,598
Paris,GPE,"air of possession everywhere. Volker was stranger in Paris than his  companion, who had only just arrived",598
Paris,GPE,"He had not had the time to solidify yet in Paris by all rights, and yet was so solid",600
Paris,GPE,and accustomed at once. This body was in Paris now ! — with an heroic freedom.,600
Calais,GPE,and his mother at Berck-sur-Mer or Calais. He would have gone home for a week,602
Paris,GPE,In Paris Ernst Volker had found himself. It seemed especially constructed,604
Paris,GPE," him because he was small. For money in Paris represented delicate things, in Germany chiefly gross",604
Germany,GPE,"For money in Paris represented delicate things, in Germany chiefly gross ones. His money lent him more",604
Rome,GPE,"borrowed, when   his allowance arrived. But in Rome, and earlier for a short time in Munich",606
Munich,GPE,"Rome, and earlier for a short time in Munich, his friend’s money was not of so",606
Paris,GPE,financial void caused by Volker’s going off to Paris. He had not formulated to himself the real,606
florid,GPE,and kicked him out I” he ended with florid truculence.,609
Munich,GPE,"By the way, Otto, you remember Blauenstein at Munich——?”",614
