Location,ent_type,context,p_no
France,GPE,"me instead of just leaving it as 'Somewhere in France.' He'll be all right.""",0
Lebanon,GPE,"it range the suave decorum of the lawn and the Lebanon cedar, the branches of which are like darkness made",3
Waterloo,GPE,stood on the steps to see him motor off to Waterloo. He kissed us both. As he bent over,8
Berlin,GPE,": ""So long! I'll write you from Berlin!"" and as he spoke his head dropped back",8
Mariposa,GPE,"""'Mrs. William Grey, Mariposa, Ladysmith Road, Wealdstone,' I don't",15
Ladysmith Road,GPE,"""'Mrs. William Grey, Mariposa, Ladysmith Road, Wealdstone,' I don't know anybody in",15
London,GPE,red suburban stain which fouls the fields three miles nearer London than Harrowweald. One cannot now protect one's,15
Boulogne,GPE,"""He's in the Queen Mary Hospital at Boulogne."" We did not speak, and she began",49
Monkey Island,LOC,". And it was sent to my old home, Monkey Island, at Bray. Father kept the inn there.",68
Boulogne,GPE,gaze I had to open a letter which bore the Boulogne postmark and was addressed in the writing of Frank Baldry,98
Boulogne,GPE,", and was in a hospital about a mile from Boulogne, where he would be glad to see me.",100
Monkey Island,LOC,"the daughter of a man who keeps the inn on Monkey Island, at Bray on the Thames. He uttered some",103
Thames,GPE,"the inn on Monkey Island, at Bray on the Thames. He uttered some appreciations of this woman which I",103
England,GPE,"when it comes to asking me to go over to England and fetch the woman—"" He interrupted me with",104
St. George's,GPE,"your memory. You were married to Kitty Ellis at St. George's, Hanover Square, on the third, or it",105
New,GPE,"the doctor, a very nice man, Winchester and New, told me he had known nothing of Chris's",105
Boulogne,GPE,"he said. ""All the time I was at Boulogne I wanted to see a kingfisher, that blue scudding",140
Monkey Island's,LOC,"hands together and laugh, too. ""Why, Monkey Island's real. But you don't know old Monkey.",189
Marlborough,GPE,"was the Monkey Island Inn. The third Duke of Marlborough had built it for a ""folly,"" and",190
Thames,GPE,"lawn between it and the fast, full, shining Thames, it had an eighteenth-century grace and silliness",190
Teddington,GPE,"-side gossip: how the lock-keeper at Teddington had had his back broken by a swan, mad",194
Monkey Island,LOC,"It seemed that the day when he bicycled over to Monkey Island, happy because Uncle Ambrose had gone up to town",199
Thames,GPE,"glowing sky, and dropped dazzling reflections on the beaming Thames. The trees moved not like timber, shocked by",199
Thames,GPE,"of the island, and Margaret breathed contentedly that the Thames was so beautiful. Past the spit of sand at",200
russet,GPE,years ago had been dark he went back to the russet-eaved boat-house and this play with the,212
Monkey Island,LOC,she had laid her cheek to the parlor window at Monkey Island. There was the enlarged photograph of Margaret's mother,226
china,GPE,"in red plush, between the rickety legs of the china cupboard was the sewing-machine, and tucked into",226
Monkey Island,LOC,"she existed in time, as the fifteen years between Monkey Island and this damp day in Ladysmith Road had irreparably made",243
Monkey Island,LOC,"deep, embarrassed voice she began to tell me about Monkey Island. It was strange how both Chris and she spoke",257
Monkey Island,LOC,"their happy, simple appetites. So they went to Monkey Island, the utter difference of which was a healing,",257
Thames,GPE,see an adventure in taking up the carpets because the Thames was coming into the coffee-room. That was,257
Mexico,GPE,"father, and in the morning he had started for Mexico to keep the mines going, to keep the firm",263
Brighton,GPE,whose conduct in running away and leaving her in a Brighton hotel with her wages and her bill unpaid still distressed,264
Chiswick,GPE,"a large and needy family called Watson who lived at Chiswick, and almost immediately Mr. William Grey, who was",264
Monkey Island,LOC,"So, five years after she left Monkey Island, she married Mr. William Grey. Soon after their",265
Monkey Island,LOC,"two years after that she had the chance of revisiting Monkey Island. At first there was no money, and later",265
Brighton,GPE,"there was the necessity of seeking the healthful breezes of Brighton or Bognor or Southend, which were the places in",265
Southend,GPE,"of seeking the healthful breezes of Brighton or Bognor or Southend, which were the places in which Mr. Grey's",265
Monkey Island,LOC,she had suddenly become obsessed with a desire to see Monkey Island once more.,265
North,LOC,"'s cut, too, but he comes from the North. But Miss Taylor's much handsomer than I ever",266
Monkey Island,LOC,"ferry on which they had looked fifteen years ago at Monkey Island, and it was more than I could bear.",295
Belgium,GPE,"it can't be true that they did that to Belgium? Those funny, quiet, stingy people!""",304
Spain,GPE,". I've read in the papers the Queen of Spain has one."" She had gone back to the",401
St. Elmo's,GPE,"her tear-wet strength, like a ball of St. Elmo's fire on the mast of a stout ship, made",401
Flanders,GPE,"shoulders he would go back to that flooded trench in Flanders, under that sky more full of flying death than",440
