Location,ent_type,context,p_no
London,GPE,in an otherwise unfurnished room in an unfashionable part of London. Three of the women were of the kind that,0
Kensington,GPE,. Their eyelashes brought Bond Street — or at least Kensington — to mind; their shoes were mudless; their,0
Bindles,GPE,"on it were: ""Miss Hazeline Snow, The Bindles, Pymley, Gloucestershire.""",27
Pymley,GPE,"were: ""Miss Hazeline Snow, The Bindles, Pymley, Gloucestershire.""",27
Gloucestershire,GPE,"""Miss Hazeline Snow, The Bindles, Pymley, Gloucestershire.""",27
Bindles,GPE,"made it up. Don't you think 'The Bindles, Pymley,' is too darling?""",31
Pymley,GPE,"up. Don't you think 'The Bindles, Pymley,' is too darling?""",31
London,GPE,"words. What do we know, and what does London know, after all these years of learning?",54
London,GPE,"Old Mother London crouches, with her face buried in her hands;",55
London,GPE,"that are but hideous draughts rush under her door. London knows much, and every moment she learns a new",55
Kensington,GPE,"have to change 'buses seven times, going from Kensington, and you have to cross the river by means",71
Mitten Island,LOC,"cross the river by means of a ferry. On Mitten Island there is a model village, consisting of several hundred",71
London,GPE,"was: Number 100 Beautiful Way, Mitten Island, London.",72
London,GPE,"creature, as selves go. She had come to London two years ago, with a little trunk and a",74
London,GPE,"of sitting in 'buses bound for remote quarters of London, and ringing the bells of people who are almost",76
Mitten Island,LOC,". She was the manageress of the only shop on Mitten Island. It was a general shop, but made a",78
the City by Tube,GPE,"The shop-lady could not afford to go to the City by Tube, not to mention the ferry fare, which was",78
Mitten Island,LOC,to notice that there is no pawn-shop on Mitten Island. The inhabitants of model villages always have assured incomes,83
Kentish Town,LOC,"is keeping company with an O-Cedar Mop in Kentish Town, and I've no doubt she would come over",160
London,GPE,"passion for seeing further. He was often ill in London. I said it was asthma, but he said",169
America,GPE,"being able to see far enough. We were in America for Rrchud's birth, and Pinehurst insisted on going",169
West,LOC,"for Rrchud's birth, and Pinehurst insisted on going West. I took the precaution of having a good nurse",169
East,LOC,"having a good nurse with me. Pinehurst said the East was full of little obstacles, and people's eyes",169
Cape Cod,LOC,"out of the horizon, he said. I like Cape Cod, but he said there was always a wall of",169
