Location,ent_type,context,p_no
Manchester,GPE,"married to an engineer, and had to live in Manchester, Mr. Denham?”",3
Manchester,GPE,Is there no retired schoolmaster or man of letters in Manchester with whom she could read Persian?”,4
Manchester,GPE,"cousin of ours has married and gone to live in Manchester,” Katharine explained. Mr. Denham muttered something,",5
Manchester,GPE,“Have you ever been to Manchester?” he asked Katharine.,6
china,GPE,"teacup, so that there was danger lest the thin china might cave inwards. She could see that he was",9
Manchester,GPE,"think there would be no one to talk to in Manchester,” she replied at random. Mr. Fortescue had",10
Manchester,GPE,"he depicted, first the horrors of the streets of Manchester, and then the bare, immense moors on the",11
London,GPE,"change by degrees, and how she would fly to London, and how Katharine would have to lead her about",11
London,GPE,I told her she would find the nice things of London without the horrid streets that depress one so.”,12
Manchester,GPE,"generally antipathetic to him. The talk had passed over Manchester, after dealing with it very generously.",16
England,GPE,you come of one of the most distinguished families in England. There are the Warburtons and the Mannings—and,39
china,GPE,"no notice of it. “Books, pictures, china, manuscripts, and the very chair that Mary Queen",85
England,GPE,"of belonging to one of the most distinguished families in England, and if any one will take the trouble to",161
England,GPE,"great writer, a poet eminent among the poets of England, a Richard Alardyce; and having produced him,",161
the North Pole,LOC,"men. They had sailed with Sir John Franklin to the North Pole, and ridden with Havelock to the Relief of Lucknow",161
Millington,GPE,", there was a Warburton or an Alardyce, a Millington or a Hilbery somewhere in authority and prominence.",161
England,GPE,when every department of letters and art was represented in England by two or three illustrious names. Where are their,164
Poets’ Corner,LOC,"fireplace hung a photograph of her grandfather’s tomb in Poets’ Corner, and she was told in one of those moments",165
India,GPE,"always visitors—uncles and aunts and cousins “from India,” to be reverenced for their relationship alone,",166
Wordsworth,GPE,"whom she gave the names of Shakespeare, Milton, Wordsworth, Shelley, and so on, who were,",166
india,GPE,"supplied with pencils, scissors, bottles of gum, india-rubber bands, large envelopes, and other appliances",170
Italy,GPE,weren’t the winter we could take a jaunt to Italy. They say Switzerland’s very lovely in the snow,171
Switzerland,GPE,"we could take a jaunt to Italy. They say Switzerland’s very lovely in the snow, except for the",171
Suffolk,GPE,"of the Alardyces, or rather, of spring in Suffolk, which was very beautifully written, although not essential",172
Cheyne Walk,GPE,", too. Any one coming to the house in Cheyne Walk felt that here was an orderly place, shapely,",175
Sussex,GPE,"Mary was led to think of the heights of a Sussex down, and the swelling green circle of some camp",180
London,GPE,"now making their way, by divers paths, across London to the spot where she was sitting.",182
London,GPE,"so very long ago, in the wonderful maze of London, which still seemed to her, in spite of",183
India,GPE,"people in remote Canadian forests and on the plains of India, when their thoughts turned to England. The nine",183
England,GPE,"the plains of India, when their thoughts turned to England. The nine mellow strokes, by which she was",183
Westminster,GPE,"hour, were a message from the great clock at Westminster itself. As the last of them died away,",183
London,GPE,"“I suppose you are the only woman in London who darns her own stockings,” he observed.",189
Denham,GPE,"-like jerks, succeeded in bringing himself close to Denham.",240
silver moon,GPE,"out of the window, first up at the hard silver moon, stationary among a hurry of little grey-blue",286
London,GPE,"blue clouds, and then down upon the roofs of London, with all their upright chimneys, and then below",286
china,GPE,her education she preserved the anxieties of one who owns china.,291
England,GPE,of gay tolerance and general friendliness which human beings in England only attain after sitting together for three hours or so,301
Devonshire,GPE,"William. You may come of the oldest family in Devonshire, but that’s no reason why you should mind",333
the City of London,GPE,"couldn’t live without this”—and he waved his hand towards the City of London, which wore, at this moment, the appearance",365
London,GPE,"the situation. She had now been six months in London, and she could find no flaw, but that",394
Holborn,GPE,"prey. And directly she had crossed the road at Holborn, her thoughts all came naturally and regularly to roost",396
England,GPE,"of a very fine network of nerves which fell over England, and one of these days, when she touched",401
Elgin,GPE,"found an empty seat directly beneath the gaze of the Elgin marbles. She looked at them, and seemed,",408
the City of London,GPE,"of a philanthropic nature do you suppose there are in the City of London itself, Miss Hilbery?” he added, screwing",436
Hilberys,GPE,of himself. For ever since he had visited the Hilberys he had been much at the mercy of a phantom,475
"again,—a",GPE,"and she drew out a pin and stuck it in again,—a little action which seemed, for some reason, to",487
Venice,GPE,"“This is like Venice,” she observed, raising her hand. “",488
Venice,GPE,"“I’ve never seen Venice,” he replied. “I keep that and",489
Venice,GPE,"“There’s Venice and India and, I think, Dante, too",491
India,GPE,"“There’s Venice and India and, I think, Dante, too.”",491
Venice,GPE,’s old age! And would you refuse to see Venice if you had the chance?”,493
Venice,GPE,"rejoined. “You, I suppose, can have Venice and India and Dante every day of your life.",497
India,GPE,"“You, I suppose, can have Venice and India and Dante every day of your life.”",497
India,GPE,"in some confusion. “How could I go to India, for example? Besides,” she began impulsively",499
India,GPE,"I don’t see why you shouldn’t go to India,” Ralph began, in order to keep her",502
china,GPE,"There was no cloth upon the table, and the china made regular circles of deep blue upon the shining brown",511
London,GPE,"at night, looking out into the shapeless mass of London, she was forced to remember that there was one",552
England,GPE,"more minute details about these poets than any man in England, probably, and was preparing an edition of Shelley",555
china,GPE,"him, or had reference to him; even the china dogs on the mantelpiece and the little shepherdesses with their",590
Kensington,GPE,"who used to stand with a tray of toys in Kensington High Street, as Katharine had often heard her mother",590
Hebrides,LOC,"this’ll do. Did your grandfather ever visit the Hebrides, Katharine?” She looked in a strangely beseeching",595
Hebrides,LOC,"her daughter. “My mind got running on the Hebrides, and I couldn’t help writing a little description",595
India,GPE,", I suppose. Uncle John brought him back from India.”",599
Jamaica,GPE,", “who took her coffin out with her to Jamaica, packed with lovely shawls and bonnets, because you",605
Jamaica,GPE,"and bonnets, because you couldn’t get coffins in Jamaica, and she had a horror of dying there (",605
Richmond,GPE,"then off we went for a day’s pleasuring—Richmond, Hampton Court, the Surrey Hills. Why should",610
the Surrey Hills,GPE,"a day’s pleasuring—Richmond, Hampton Court, the Surrey Hills. Why shouldn’t we go, Katharine? It",610
Blackfriars,GPE,"all three of them should go on a jaunt to Blackfriars to inspect the site of Shakespeare’s theater, for",611
East,LOC,"restrain him from pursuit of it. She suspected the East also, and always fidgeted herself when she saw him",647
England,GPE,know as much about breeding bulldogs as any man in England; that he had a collection of wild flowers found,652
London,GPE,that he had a collection of wild flowers found near London; and his weekly visit to old Miss Trotter at,652
London,GPE,and their summer excursions to churches in the neighborhood of London for the purpose of taking rubbings of the brasses became,652
London,GPE,"should he go? To walk through the streets of London until he came to Katharine’s house, to look",656
London,GPE,"sake of examinations; and her time for reading in London was very little. For some reason, no one",668
