Location,ent_type,context,p_no
Artemis,GPE,"remote, virgin look of modern girls, sisters of Artemis rather than of Hebe. Gudrun was very beautiful,",21
Hebe,GPE,"of modern girls, sisters of Artemis rather than of Hebe. Gudrun was very beautiful, passive, soft-",21
London,GPE,"smart woman.” She had just come back from London, where she had spent several years, working at",21
Chelsea,GPE,"without poverty. Gudrun, new from her life in Chelsea and Sussex, shrank cruelly from this amorphous ugliness of",66
Sussex,GPE,". Gudrun, new from her life in Chelsea and Sussex, shrank cruelly from this amorphous ugliness of a small",66
Midlands,LOC,"this amorphous ugliness of a small colliery town in the Midlands. Yet forward she went, through the whole sordid",66
paroxyism,GPE,"unbroken wolf.” And then she experienced a keen paroxyism, a transport, as if she had made some",95
arctic,LOC,"some way, is there really some pale gold, arctic light that envelopes only us two?” she asked",95
Midlands,LOC,little. She was the most remarkable woman in the Midlands. Her father was a Derbyshire Baronet of the old,97
London,GPE,"the county. But Gudrun had met others, in London. Moving with her artist friends in different kinds of",98
Midlands,LOC,"would be queer to meet again down here in the Midlands, where their social standing was so diverse, after",98
Willey Green,GPE,"superior, of anyone she was likely to meet in Willey Green. She knew she was accepted in the world of",99
Kulturträger,GPE,"world of culture and of intellect. She was a Kulturträger, a medium for the culture of ideas. With",99
Shortlands,LOC,"home to Beldover, the wedding-party gathered at Shortlands, the Criches’ home. It was a long",150
Europe,LOC,"—race is the essential element in nationality, in Europe at least,” he said.",216
Charming Jersey,GPE,"and the opposite woods were purplish with new life. Charming Jersey cattle came to the fence, breathing hoarsely from their",264
Shortlands,LOC,"road. They were passing between the trees just below Shortlands. They looked up at the long, low house",479
London,GPE,One day at this time Birkin was called to London. He was not very fixed in his abode.,549
Nottingham,GPE,"very fixed in his abode. He had rooms in Nottingham, because his work lay chiefly in that town.",549
London,GPE,"chiefly in that town. But often he was in London, or in Oxford. He moved about a great",549
Oxford,GPE,". But often he was in London, or in Oxford. He moved about a great deal, his life",549
London,GPE,"“London. So are you, I suppose.”",554
Empire,GPE,"a nation we can sport the Ritz, or the Empire, Gaby Deslys and the Sunday newspapers. It is",584
Brocken,GPE,"himself reflected in the neighbouring opinion, like in a Brocken mist, several feet taller on the strength of the",590
Sodom,GPE,"mankind is destroyed, if our race is destroyed like Sodom, and there is this beautiful evening with the luminous",663
London,GPE,“Where are you staying in London?”,665
London,GPE,“Art—music—London Bohemia—the most pettifogging calculating Bohemia that ever reckoned,671
Bohemia,GPE,—music—London Bohemia—the most pettifogging calculating Bohemia that ever reckoned its pennies. But there are a,671
London,GPE,"might see something of each other—I am in London for two or three days,” said Gerald.",678
London,GPE,"of hopelessness. He always felt this, on approaching London.",686
London,GPE,"I always feel doomed when the train is running into London. I feel such a despair, so hopeless,",691
London,GPE,"minutes the train was running through the disgrace of outspread London. Everybody in the carriage was on the alert,",697
London,GPE,“Do you know London well?”,742
Bohemia,GPE,",” said Birkin, giving Gerald his credentials for Bohemia.",746
London,GPE,"Gerald looked round the room. It was an ordinary London sitting-room in a flat, evidently taken furnished",901
West Africa,GPE,"there were several negro statues, wood-carvings from West Africa, strange and disturbing, the carved negroes looked almost",901
London,GPE,"a large piano. And these, with some ordinary London lodging-house furniture of the better sort, completed",904
Pietà,GPE,"and firm. He was like a Christ in a Pietà. The animal was not there at all, only",947
South America,LOC,"“South America—Amazon,” said Gerald.",950
Halliday,GPE,. Gerald was on the point of knocking-in Halliday’s face; when he was filled with sudden disgust,986
Derbyshire,GPE,"pillars, standing among the softer, greener hills of Derbyshire, not far from Cromford. In front, it",989
Cromford,GPE,"softer, greener hills of Derbyshire, not far from Cromford. In front, it looked over a lawn,",989
the Derwent Valley,LOC,"some miles from the high-road, back from the Derwent Valley, outside the show scenery. Silent and forsaken,",990
London,GPE,"deal at the house. She had turned away from London, away from Oxford, towards the silence of the",991
London,GPE,"Hermione’s friends. He had just come down from London, from the House. At once the atmosphere of",1016
Pacific,LOC,like getting on top of the mountain and seeing the Pacific.”,1031
yeux,GPE,voice. “Bazarov ouvra la porte et jeta les yeux dans la rue.”,1050
China,GPE,",” he replied. “One gets more of China, copying this picture, than reading all the books",1094
Palestra,GPE,"you? I wish you would. Anche tu, Palestra, ballerai?—sì, per piacere. You too, Ursula",1106
London,GPE,"“She knew Gudrun in London—that’s the younger one, the one with",1137
London,GPE,"“London, Paris, Rome—heaven knows. I always",1149
Paris,GPE,"“London, Paris, Rome—heaven knows. I always expect her",1149
Rome,GPE,"“London, Paris, Rome—heaven knows. I always expect her to sheer",1149
Damascus,GPE,knows. I always expect her to sheer off to Damascus or San Francisco; she’s a bird of paradise,1149
San Francisco,GPE,I always expect her to sheer off to Damascus or San Francisco; she’s a bird of paradise. God knows,1149
London,GPE,"“I knew her in London,” he replied, “in the Algernon Strange",1152
lapis lazuli,LOC,"arm was raised, the hand clasping the ball of lapis lazuli. It was her left hand, he realised again",1304
Constantinople,GPE,sort altogether. They say as he got her from Constantinople.”,1352
London,GPE,"could never tell why Beldover was so utterly different from London and the south, why one’s whole feelings were",1377
Willey Green,GPE,"lived alone in a cottage, in lodgings, in Willey Green. He was a gentleman, and sufficiently well-",1385
