Location,ent_type,context,p_no
London,GPE,"MY watch has needed winding only twice since I left London, and already, as I sit here in the",0
London,GPE,for ever complaining of the necessity that kept me in London. How I would deliver myself to a congenial friend,0
Euston,GPE,a cab hurried me through the Tottenham Court Road to Euston the smile which I turned to the never-ending,0
London,GPE,"Is Love Lust?"" For it is now a London of coloured drawings of men about to murder or be",0
Euston,GPE,"And even the entrance of Euston, rebuilt and newly painted, gave my eyes only",1
London,GPE,"my eyes, and was glad that I was leaving London.",1
London,GPE,"window, and fixed itself upon my pleasure at leaving London; and very soon I realised that this was the",2
London,GPE,that I should not spend so many months away from London as my late depression had imagined. Then up will,2
London,GPE,I was already thinking of how I would return to London next year in the spring. What I would do,3
London,GPE,even I had come to think of the pleasures that London in early summer has in store for all who care,3
London,GPE,"many years past when I first came to live in London. I am bitter about those first months, and",5
London,GPE,"about those first months, and will not easily forgive London for them; and if any young person shall begin",5
Kensington,GPE,"-long friends of the family who have houses in Kensington and Hampstead, and ""nice"" parquet floors on",5
Hampstead,GPE,"friends of the family who have houses in Kensington and Hampstead, and ""nice"" parquet floors on which you",5
Hayastan,GPE,", he comes to wonder why his fathers ever left Hayastan; for it seems to me much better to be",5
Hayastan,GPE,to me much better to be a murdered prince in Hayastan than a living vagabond in London. So I wandered,5
London,GPE,"a murdered prince in Hayastan than a living vagabond in London. So I wandered about, moved my chambers gradually",5
Hampstead,GPE,"its parasites; came teas at Golder's Green and Hampstead, and queerly serious discussions about sub-consciousness;",6
Derbyshire,GPE,"As the train flew through the Derbyshire countryside, whose hillsides and vales, covered with the",7
vales,GPE,"train flew through the Derbyshire countryside, whose hillsides and vales, covered with the brilliant sheen of the autumn sun",7
Yorkshire,GPE,"that I had not spent the three summer months in Yorkshire on the moors, where I should have been uncomfortable",7
East,LOC,"have the heart to leave them and go to the East to see the land of my father Haik, or",8
Haik,GPE,"to the East to see the land of my father Haik, or to walk about the lake upon which the",8
Windermere,GPE,"Wolseley car to take my wife for a holiday to Windermere, because she looked pale, or because we were",10
Haik,GPE,"pass on and youth becomes regret, the son of Haik, the faded offspring of a faded nation whose only",12
Nineveh,GPE,"lived so long and has memories of the sacking of Nineveh and Carchemish, is left without the impetus of development",12
Northerner,GPE,"which is articulate only in bitterness; while the hardy Northerner, descendant of barbarian Druid worshippers whose nakedness was rumoured",12
Hayastan,GPE,"rumoured with horror in the courts and pleasure gardens of Hayastan and Persia, slowly grows in mind as in body",12
Persia,GPE,"horror in the courts and pleasure gardens of Hayastan and Persia, slowly grows in mind as in body, and",12
England,GPE,"I told Shelmerdene that I, who had thought that England had given me at least some of her continually growing",12
Dublin,GPE,"the tune as he lay drunk and wretched in his Dublin garret, for there is more than Celtic gloom in",13
London,GPE,"perhaps when first he came to venture his genius in London, a young man with a strange, bad-",13
Cornwall,GPE,"Manus MacCodrum, when he walked into the sea from Cornwall. Charles Meryon must have heard it as he walked",13
Paris,GPE,"heard it as he walked hungrily about the streets of Paris, and wondered why those gargoyles—strange things to",13
Paris,GPE,"life, could not scream aloud to the people of Paris that a genius was dying among them for lack of",13
London,GPE,"would like to spend these glorious spring days away from London with you, in quietness, perhaps in Galway somewhere",13
Galway,GPE,"from London with you, in quietness, perhaps in Galway somewhere; but if you cannot come away with",13
Knightsbridge,GPE,"unveil. So in the end we lunched together in Knightsbridge, and then walked slowly through the Park.",15
Boston,GPE,"make; such a subtle negation of the morals of Boston or Kensington that she would, in the searching light",17
Kensington,GPE,"such a subtle negation of the morals of Boston or Kensington that she would, in the searching light of the",17
London,GPE,"the Embankment at three o'clock in the morning, when London is very silent: and if you lounge along as",21
Cheyne Walk,GPE,"here and there in the windows of the houses in Cheyne Walk, which might mean birth or death or nothing,",21
Park,GPE,other things than the bawling of tiresome men in this Park on Sunday afternoons—for he could do nothing without,21
Park,GPE,", she laughed slightly and said that she liked the Park this spring afternoon. ""It is perfect now,",25
Park Lane,GPE,because it will be too cold; and then in Park Lane you will put me into a taxi and stand by,25
London,GPE,"for it followed me here some ten days ago from London, reaching me the same morning that I sat down",29
London,GPE,"which was at first to have been an essay on London, but seems now to have fallen into the state",29
America,GPE,might wonder now if English-women who die in America come back to London; for there is much of,31
London,GPE,English-women who die in America come back to London; for there is much of London in the letter,31
London,GPE,"come back to London; for there is much of London in the letter: ""I should like to be",31
London,GPE,"the letter: ""I should like to be in London to-day—Bloomsbury London, Mayfair London,",31
Bloomsbury London,GPE,"should like to be in London to-day—Bloomsbury London, Mayfair London, Chelsea London, London of the",31
Chelsea London,GPE,"to-day—Bloomsbury London, Mayfair London, Chelsea London, London of the small restaurants and large draughts of",31
London,GPE,"—Bloomsbury London, Mayfair London, Chelsea London, London of the small restaurants and large draughts of wine,",31
London,GPE,"of the small restaurants and large draughts of wine, London of the intellectual half-lights, drone of flippant",31
London,GPE,"and racy epigrams, with a thin fog outside; London of a resigned good humour, of modulated debauch moving",31
London,GPE,But I would not like to be in London this month of November.,32
London,GPE,say that I would not like to spend it in London; for something happened which threw me in a great,34
South Kensington,GPE,"uncomfortable little flat in Monday Road, which is in South Kensington, but for all the life and gaiety there is",34
Sahara,LOC,just as well be in a scrubby corner of the Sahara on a dusty day. My father had died suddenly,34
South Kensington,GPE,"looking back calmly on the eighteen months I spent in South Kensington, I can find here and there, through an",36
Piccadilly,GPE,", which she had begged to pick her up on Piccadilly in pity for her ""tired bones,"" and",51
Chelsea,GPE,"was. And, unlike her more careless sisters of Chelsea, Hampstead, and Golders' Green, she did",52
Hampstead,GPE,"And, unlike her more careless sisters of Chelsea, Hampstead, and Golders' Green, she did not make",52
South Kensington,GPE,"at this very moment of writing why those months in South Kensington seemed so overpoweringly dismal, and that even now it",54
Dikran,GPE,"he turned to me and said, ""Tea, Dikran?"" I would watch him through my smoke,",64
Prague,GPE,"an alchemist living in a three-storied house in Prague, exiled from his native land of Russia for criticising",65
Russia,GPE,"house in Prague, exiled from his native land of Russia for criticising too openly the size of the Czarina's",65
Paris,GPE,"not as I have always seen you, but in Paris, where rumour tells of you; in Paris,",66
Paris,GPE,"in Paris, where rumour tells of you; in Paris, where your art was your hobby and life your",66
Paris,GPE,"to illustrate the poems of François Villon! But in Paris, long ago, I see you, Nikolay,",67
Dikran,GPE,"eye. ""That's a nasty bad word, Dikran. The being-at-home feeling is a",71
England,GPE,"—for of course I will write one, since England expects every young man to write a novel—the",75
East,LOC,"be, well, fastidiousness.... I come from the East; I shall go to the East; I shall",75
East,LOC,come from the East; I shall go to the East; I shall try to strike the literary mean between,75
East,LOC,I shall try to strike the literary mean between the East and the West in me—between my Eastern mind,75
East,LOC,"""The East is a shambles,"" he said shortly. And",76
Green Park,LOC,"I like to walk on the Green Park side; in summer because of the fresh, green",80
London,GPE,", green, rustling trees, an unhurried pleasaunce in London's chaotic noises, and in winter because I like",80
yestreen,GPE,"you hadn't much liked the tinge of vermilion in yestreen's sunset, for he had touched in that vermilion",80
Green Park,LOC,"become a commonplace; and as I walked up the Green Park side, the path around me was strewn with brown",82
Eden,LOC,and sleep on the same well-worn spot in Eden every night than to move about the Garden and venture,87
Persia,GPE,"She had, indeed, gone ""to find out""—to Persia, they said, on a splendid, despairing chase",90
Syria,GPE,"Ishtar, who, in the guise of Astarte in Syria and Astaroth in Canaan, upset the gods and households",90
Canaan,GPE,"in the guise of Astarte in Syria and Astaroth in Canaan, upset the gods and households of great peoples and",90
Rome,GPE,fit for nothing but to be conquered and to serve Rome and Byzantium as concubines and eunuchs?,90
Byzantium,GPE,nothing but to be conquered and to serve Rome and Byzantium as concubines and eunuchs?,90
East,LOC,"are on your knees in a ruined temple in the East, begging favours of Ishtar. Not she to grant",91
Dikran,GPE,". I do all my grovelling then. And, Dikran! if you could only see me, if you",96
Theodosia,GPE,"said. ""Many women have sworn that, from Theodosia to La Pompadour, but they have not died of",99
Dikran,GPE,"""Oh, don't be pedantic, Dikran, and don't worry me about what other women",100
Venice,GPE,"adore to lie with his beloved in a gondola in Venice, looking at the stars; any Englishman who does",101
Dikran,GPE,"they worship stone figures.... I went very mad, Dikran. He told me that he didn't deserve being",103
Dikran,GPE,"loved me—mark that glorious, arrogant think, Dikran!... He was very ambitious; with the sort",104
Africa,LOC,"or perhaps six weeks. He was under orders for Africa, where he was going to take up a big",107
Africa,LOC,"him feel that he couldn't bear life, in Africa or anywhere, without me. And, my dear",107
London,GPE,"weeks between that horrible lunch and his going away! London love affairs are always scrappy, hole-in-",108
London,GPE,"said he wasn't seeing enough of me, that London was getting between us, and that we must go",108
Africa,LOC,would beg me on his knees to follow him to Africa!,108
Italy,GPE,"under a wilderness of blue sky, more blue than Italy's because of the white and grey puffs of clouds",109
Wales,GPE,"played with those toy hills which are called mountains in Wales, and we were often silent because there was too",109
London,GPE,"sat silently facing each other in the train back to London, I knew I had won. There were three",109
London,GPE,"""In London, he dropped me here at my house, and",110
Paris,GPE,"orders had been changed—he had to go to Paris first, spend two days there, and then to",110
Africa,LOC,"first, spend two days there, and then to Africa via Marseilles. 'To Paris?' I said",110
Marseilles,GPE,"spend two days there, and then to Africa via Marseilles. 'To Paris?' I said, not",110
Paris,GPE,", and then to Africa via Marseilles. 'To Paris?' I said, not understanding. 'Yes",110
Wales,GPE,"us, as though we hadn't ever been to Wales, or played, and laughed, and loved;",110
Nile,LOC,"appreciations of me tacked on to literary descriptions of the Nile, and the desert, and the natives. I",112
England,GPE,"I never thought of how he would come back to England soon, as he had said, and what we",113
Nile,LOC,"he loved me, but he forgot to describe the Nile, and wrote about love as though it were a",114
Wales,GPE,"""I stayed my week out in Wales, because I always try to do what is expected",116
Wales,GPE,"which had arrived one hour after I had left for Wales. It was from Southampton, and it said:",116
Southampton,GPE,"after I had left for Wales. It was from Southampton, and it said: 'Just arrived. Am",116
Wales,GPE,. Am going straight up to the little palace in Wales because of memories. Will arrive there dinner-time,116
London,GPE,"he had actually come very little into my life in London. In fact, we retained our intimacy against the",120
England,GPE,"invisible aim, a tyrannical decree. As one of England's governing classes, even at the age of fourteen",122
the British Empire,GPE,", together with the Navy, Louis took as representing the British Empire.",122
Piccadilly,GPE,"of school, and that if I met him on Piccadilly to-morrow would recognise me only to scowl at",127
Edinburgh,GPE,Even now I don't know why I went to Edinburgh and not to Oxford; I had always intended going,128
Edinburgh,GPE,"vicious obstinacy, I decided that I would go to Edinburgh instead.",128
Edinburgh,GPE,"made into a soldier, and I, up at Edinburgh, was on the high road to general fecklessness.",130
